fen
rn3rk1/pb4bp/1p3pp1/2pqp3/8/1P1P1NP1/PBP2PBP/R2QR1K1 w - - 0 13
r2qr1k1/1b3pp1/p2p1b1p/1ppP1P2/5BP1/P1P2B1P/1P1Q4/3R1RK1 w - - 1 25
5rk1/1b2npqp/pp2p1p1/2p5/2P5/1N6/PP2NPPP/3R1QK1 w - - 1 23
r4kr1/pp1b1p2/1qp1pQ2/8/1b1PN3/3P4/PP2NPPP/R4K1R w - - 7 23
r1b2b1r/p2knRp1/1p1Np3/3qP1BP/1pp3Q1/N1P5/P6P/R4K2 b - - 1 23
2r2rk1/6pp/p3Pp2/2p2P2/3q4/8/P5PP/R3QR1K b - - 5 26
r4rk1/pppq1n1p/3b1p2/1P1p1p2/3P1P2/P3PQ1P/6P1/RN2KB1R b KQ - 1 15
r2q1rk1/1b1p1ppp/p2b1n2/1ppNp3/1PP1P3/P2P1B2/1B3PPP/R2Q1RK1 b - - 0 13
r1bqr1k1/bp3pp1/p1n1pB1p/3p4/2P5/1P2PN2/P1QNBPPP/R4RK1 b - - 0 12
1q4k1/2n1b1Bp/pr4p1/2pPp3/2P5/2N4P/1PQ1N1P1/1R3rK1 w - - 0 23
r1b2rk1/2q1ppbp/pp1p1np1/2n5/P2NPPP1/2N1B3/1PP1B2P/R2Q1RK1 w - - 1 13
r2qkb1r/2p2ppp/p3bn2/n7/3pQ3/P4N1P/1P1PPPP1/RNB1KB1R w KQkq - 3 11
r1b1k1nr/pp1p1p1p/2p5/4P3/2BnPB2/N5p1/PPP3PP/R4K1R w kq - 0 13
2rqr1k1/1b1nbpp1/p2ppn1p/1p3P2/3P4/1NPB3P/PP1N2PB/R2Q1RK1 b - - 0 17
2rr1bk1/pq3p1p/1p2p1p1/4P3/2Np1P2/1P1Q4/P5PP/3R2K1 w - - 2 29
r1bq1rk1/3nppbp/p2p1np1/1p6/3NP3/P1N1BP2/BPPQ2PP/R3K2R b KQ - 1 11
rn2k2r/pppqp1bp/1n1pb1p1/6N1/5Q2/3P4/PPP2PPP/RNB1K2R b KQ - 9 13
r4r2/ppp3k1/3p2p1/3P2n1/4PR2/2N3K1/PPP5/5B2 w - - 1 24
r2qk2r/3nbppp/p3p3/1p2P3/1npP4/2N1BQP1/1P3P1P/2R1KB1R b Kkq - 0 14
5rk1/1q3p2/ppb1pP1p/3r2p1/1PP5/P2Q2P1/4NKP1/R6R w - - 0 26
r2rn1k1/1bq2ppp/2p5/1pP1p1b1/nP2P3/1Q3N1P/3N1PP1/R2R1BK1 w - - 0 20
6k1/p3q1p1/3p3p/1pp5/4PQ1r/2PKP3/P1P5/6R1 w - - 4 28
1nkr3r/pbp1qp2/1p6/1P2pQp1/2PN3p/P3P3/4BPPP/R4RK1 b - - 1 18
rn1q1rk1/pp2bppp/2p1b3/3pP3/5Bn1/2NP4/PPPQB1PP/R3K1NR w KQ - 1 11
2r2b1k/p4bnp/3p2p1/1p4Q1/q3P1P1/P4P2/7P/R1R4K w - - 0 31
r2n2k1/1R2bpp1/2pp1q1p/p3p3/P1P1P3/2NPB1P1/4QP1P/6K1 w - - 1 23
r2q1rk1/pp1np1bp/3p1np1/6N1/3p4/2PB1P2/PPQB1P2/R3K2R b KQ - 3 16
r5k1/3n2pp/2p1nr2/3p4/3Pp1Pq/P3QP2/4N1P1/RR4K1 b - - 2 23
3r1kn1/1p1b4/pn1b2B1/3p1p2/2pP1P2/1PP3PP/P2N2K1/R1B1R3 w - - 0 22
r1b2rk1/p5pp/2pn4/8/5P2/2NB4/PP4PP/4R2K w - - 0 25
2rqk2r/p4ppp/4p3/8/5P2/2P5/P3Q1bP/R1B1K1NR b KQk - 1 18
r4rk1/ppp2pp1/2qp1b1p/8/2P1P3/2P5/PP1N1QPP/R4RK1 w - - 3 15
r2q1rk1/p3bppp/2p2n2/3p4/3P4/1P3N2/PB3PPP/RN3QK1 w - - 0 15
6k1/R3rpb1/6pp/1p4q1/8/1Q2P3/1P1r1PPP/R5K1 b - - 3 27
4r3/1k3p2/p3n2p/2pr4/1p3P2/1PBP2P1/1PP2R1P/2K5 w - - 0 31
1k1rq1r1/pp2bp1p/2p5/4pBnP/2P1P1Q1/2NP2P1/PP6/1K1R3R w - - 3 29
2kr1b1r/p2n2pp/1p2pq2/8/8/2PB1P2/P4P1P/R1BQR1K1 w - - 1 15
r4rk1/p4ppp/8/1ppPN3/8/P6P/1P3RP1/3R2K1 b - - 0 26
6k1/6bp/2Bp2p1/P1pPp1q1/7r/7Q/5RP1/R6K b - - 2 30
4k2r/1p2b1p1/p1p4p/4p3/4P3/1P2B3/1PP1rPPP/2R1R1K1 b - - 6 23
r2qk1nr/1pp3p1/p3p2p/1b1pP2P/1P6/P3B3/2P2PP1/RN1QR1K1 b kq - 0 16
r3r1k1/p4ppp/2pn4/1BN5/1P6/P1qP4/2P2NPP/1R1Q1K1R b - - 0 21
r2q1rk1/5ppp/p4n2/1pp1p3/3pP3/1B1P1Q2/PPPR1PPP/5RK1 w - - 0 15
7r/ppp1kp1p/2n1p1p1/4P3/8/4KN2/PP3P1P/6R1 w - - 0 23
2r1kbnr/pp1b1ppp/1q2p3/3pP3/3P1P2/2N2N2/PP1Q2PP/R3KB1R b KQk - 6 11
5k2/p4ppp/8/7b/2R5/2P2P2/6rP/2K5 b - - 0 30
8/5ppk/p6p/1p5P/2q5/8/P3RPP1/4R1K1 b - - 2 28
4k2r/pp3p1p/6p1/2P5/4P3/1P3q2/P4P1P/3Q1RK1 b k - 0 21
r2q1rk1/ppp1bppp/2n5/3nP3/3P4/2N5/PP2N1PP/R1BQ1RK1 w - - 1 12
3q1rk1/p1p2p2/2n1p2p/6p1/3PQ3/2P1N1B1/1r3PPP/R4RK1 w - - 1 19
