game_id,anchor_fen,moves,winner
g149239,rn1q1rk1/3bbppp/2p1p3/pp6/3Pn3/1BP2PN1/PP4PP/R1BQ1RK1 w - - 0 13,f3e4 a5a4 b3c2 a8a7 e4e5 e7g5 d1g4 g5c1 a1c1 f7f5 g4h5 g7g6 h5h6 d7c8 f1f4 a7g7 h2h3 d8e7 c2d1 b8d7 f4h4 d7b6 d1e2 b6d5 g3f1 f5f4 e2g4 d5e3 f1e3 f4e3 c1e1 f8f7 e1e3 e7f8 e3g3 f7f1 g1h2 f8f2 g4f3 f2g1,black
g51807,8/8/pp3R2/4p3/P5k1/1P2P2p/7K/8 b - - 1 41,b6b5 f6a6 g4f3 a4b5 f3e3 b5b6 e3d4 b6b7 e5e4 b7b8q d4c3 h2h3 e4e3 a6e6 c3d2 b8d8 d2e2 b3b4 e2f2 b4b5 e3e2 d8d2 f2f3 b5b6 f3f2 b6b7 f2f3 d2e2 f3f4 e6f6 f4g5 f6f3 g5h6 b7b8q h6g5 b8g8 g5h6 e2e6 h6h5 g8g4,white
g51578,3r1rk1/p3q1p1/3bb2p/5p2/8/3PBB2/PPP2PPP/R2QR1K1 b - - 1 17,e7f6 c2c3 g7g5 e3d4 f6f7 d1e2 f8e8 f3c6 e8e7 c6a4 f5f4 e2f3 g5g4 f3d1 g4g3 h2g3 f4g3 f2g3 f7g6 e1e6 e7e6 a4b3 g8h7 b3e6 d6g3 d1f3 d8e8 e6f5 e8e6 f5g6 e6g6 f3e4 h6h5 a1f1 g3d6 f1f6 d6f8 e4g6 h7h8 f6f8,white
g2413,4rrk1/5ppp/pbn5/3q1N2/2pP2B1/2P4P/1P4P1/R2QR1K1 b - - 4 22,e8e1 d1e1 h7h5 f5e3 d5g5 g4f3 c6d4 c3d4 b6d4 a1a6 d4e3 g1h1 h5h4 a6a5 g5e7 a5h5 e3g5 e1a5 g5f6 h5d5 f8e8 d5d1 f6b2 a5f5 c4c3 d1f1 e7e6 f5h5 e6g6 h5b5 g6d6 b5e8 g8h7 f3e4 h7h6 e8h8 h6g5 h8g7 d6g6 f1f5,white
g35797,rn1qkr1n/p1p1b1pp/1p1pQp2/7P/3PP3/2P1BPP1/PP3N2/RN2K2R b KQ - 0 15,d8d7 e6c4 a7a6 a2a4 d7c6 c4d3 c6d7 b1a3 a8a7 a3c4 b8c6 e3f4 e8d8 c4e3 h8f7 e3d5 g7g5 h5g6 h7g6 h1h7 g6g5 f4e3 d8e8 f2g4 e7d8 g4f6 d8f6 d5f6 e8e7 f6d7 e7d7 e4e5 a7a8 d3f5 d7e7 e3g5 e7e8 f5e6 c6e7 e6e7,white
g132741,rn1qkbnr/pb1ppppp/1p6/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,b1c3 e7e6 d2d4 c5d4 d1d4 b8c6 d4d1 a7a6 a2a3 d8c7 e1g1 f8d6 f3g5 f7f6 g5h3 d6h2 g1h1 h2d6 f2f4 g8e7 e4e5 f6e5 f4e5 c6e5 c4b3 e8c8 a3a4 e7f5 c1f4 h7h6 f4h2 c7c6 f1f2 h6h5 c3e2 e5g4 h2d6 g4f2 h3f2 c6g2,black
g23890,r3kb2/pbp1qppr/1pn1p2p/3pP3/3P4/P1N1BN2/1PP2PPP/R2QR1K1 b q - 4 11,e8c8 b2b4 f7f6 e5f6 e7f6 d1e2 d8e8 g2g3 g7g5 f3d2 h7f7 b4b5 c6d4 e3d4 f6d4 c3a2 d4c5 e1f1 d5d4 a2b4 e6e5 d2e4 b7e4 e2e4 c5b5 f1b1 b5c5 b4a6 c5a5 e4a8 c8d7 a8a7 e8e7 a7c7 d7e6 b1b6 e6f5 c7c6 f8g7 c6f3,white
g63733,7k/3p2p1/b1n4p/1N2p3/2P5/6P1/PR3r1P/2KR4 b - - 0 35,c6a5 b2f2 a5c4 b5c3 c4e3 d1d7 a6c4 f2f8 h8h7 c3e4 c4a2 f8f3 e3g2 h2h4 a2e6 d7e7 e6d5 e7e5 g2e1 f3e3 e1g2 e3e2 d5e4 e5e4 g2h4 e4h4 g7g5 h4d4 h7g6 g3g4 h6h5 e2e6 g6f7 e6a6 h5h4 d4b4 f7e8 b4b7 h4h3 a6a8,white
g147117,4b1k1/pp6/3p4/3Pbp2/2P2qp1/1P2p3/P3B1PR/3Q3K w - - 2 33,g2g3 f4g3 h2g2 g3h4 h1g1 e8h5 c4c5 g8f7 c5c6 b7c6 d5c6 h4d8 d1f1 f7f6 e2g4 h5g4 g2g4 d8b6 f1e1 f5g4 e1h4 f6f5 h4h5 f5f4 h5f7 f4e4 f7g6 e4f3 g6f5 f3g3 f5e4 e3e2 g1h1 b6f2 e4d3 f2f3 d3f3 g4f3 c6c7 e2e1q,black
g4552,2rq1rk1/p3bppp/b1p1pn2/3p4/8/1P2P1P1/PBPN1PBP/R2QR1K1 b - - 2 12,c6c5 c2c4 d5d4 e3d4 c5d4 d2e4 f6e4 g2e4 e7b4 e1e2 f7f5 e4g2 d8d6 d1d4 d6d4 b2d4 f8e8 d4e3 b4c3 a1c1 c3f6 c1d1 c8d8 e2d2 d8d2 d1d2 g8f7 d2d1 a6c8 e3a7 e8e7 a7c5 e7d7 d1d7 c8d7 g1f1 e6e5 f1e2 f7e6 g2d5,white
g88189,rnbqkbnr/pppppp1p/6p1/6B1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,f8g7 c2c3 g8f6 g1f3 e8g8 b1d2 d7d6 e2e4 c8g4 h2h3 g4f3 g2f3 h7h6 g5h4 g6g5 h4g3 f6h5 f1e2 b8d7 h3h4 h5g3 f2g3 g5h4 g3h4 e7e5 d4d5 d7c5 e2c4 a7a6 d1e2 b7b5 c4b3 g8h7 h1g1 f7f5 e2g2 d8h4 e1d1 f5e4 g2g7,white
g168035,rnbqkbnr/ppp2ppp/3pp3/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,g8f6 f2f4 f8e7 g1f3 c8d7 f1d3 b8c6 e1g1 h7h6 e4e5 f6d5 c3e4 d6e5 f4e5 e8g8 c2c4 d5b4 d3b1 c6b8 a2a3 b4a6 b2b4 c7c6 c1b2 a6c7 d1d3 g7g6 e4d6 e7d6 e5d6 c7e8 c4c5 d8f6 f3e5 f6d8 e5g6 f7g6 d3g6 e8g7 g6h7,white
g2668,r2q1rk1/ppp1ppbp/3p2p1/3P4/2PnP3/2N2B2/PP1Q1PPP/R4RK1 w - - 1 14,d2e3 e7e6 a1c1 e6e5 c3e2 f7f5 e2d4 e5d4 e3d3 f5e4 f3e4 f8e8 f2f4 d8f6 f1f3 e8e7 c1f1 a8e8 e4g6 h7g6 f3g3 e7e3 d3g6 e3g3 g6g3 e8e3 g3f2 g8f7 b2b4 f6e7 f4f5 d4d3 f2d2 g7d4 g1h1 e7e4 f1d1 e3e2 d2d3 e4g2,black
g61032,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e3 e7e5 d2d3 d7d5 c2c3 c7c6 c1d2 c8e6 f1e2 f8d6 b1a3 g8f6 a3c2 a7a6 g1f3 b8d7 h2h3 h7h6 e1g1 e8g8 a2a3 d6b8 b2b4 d8c7 a3a4 e5e4 a4a5 e4f3 e2f3 c7h2,black
g51444,2kr2r1/p1p1qp2/2p1pn1p/3pBb2/3P4/P1P1P1Pp/2P1QP1N/R4RK1 b - - 1 17,f5g4 e2a6 c8d7 a6a7 d8a8 a7c7 d7e8 c7c6 f6d7 c6a8 e7d8 a8c6 e8f8 e5d6 f8g7 h2g4 d8g5 g1h2 g5g4 c6d7 g4f3 d6e5 g7g6 f1g1 f3f2 h2h1 h3h2 g1g2 f2e3 h1h2 e3c3 a1f1 f7f5 d7e6 g6h7 e6f5 g8g6 f5f7 g6g7 f7g7,white
g174747,1k1r1bnr/ppp2ppp/2p4q/8/3B4/5Q2/PPP2PPP/RN2R1K1 b - - 0 14,f8d6 g2g3 g8f6 d4e3 h6g6 e1e2 h7h5 h2h4 f6g4 e3g5 f7f6 g5f4 g6h7 f4d6 d8d6 b1c3 g7g5 a1e1 a7a6 e2e7 h7g6 c3e4 d6d8 f3b3 g5h4 e4c5 b7b5 c5a6 b8a8 a6c7 a8b8 c7a6 b8a8 b3a3 h8h7 a6c5 a8b8 a3a7 b8c8 a7c7,white
g120120,r3k1nr/ppp2pbp/2n3p1/4pb2/8/4PN1P/PPP1BPPB/RN1qK2R w KQkq - 0 9,e2d1 e8c8 e1g1 d8d1 f1d1 f5c2 d1c1 c2e4 f3g5 e4d5 b1c3 g8e7 a2a3 f7f6 c3d5 e7d5 g5e6 g7h6 b2b4 a7a6 e6c5 f6f5 c5a6 f5f4 e3e4 d5e7 a6c5 f4f3 g2g4 h6c1 a1c1 h8d8 c5e6 d8d3 b4b5 c6d4 c1c7 c8b8 c7e7 d3d1,black
g22106,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4 c7c5 g1f3 e7e6 d2d4 b8c6 f1e2 a7a6 e1g1 g7g5 c1g5 f7f6 g5c1 h7h6 f3h4 e8f7 e2h5 f7g7 d1g4 g7h7 g4g6,white
g55883,8/1pp2rk1/p1n2p1p/2Q1pqp1/1PP5/6B1/P2r1PPP/4RRK1 w - - 1 29,b4b5 a6b5 c4b5 c6d4 c5c3 d4e2 g1h1 e2c3 b5b6 c7b6 e1c1 c3a2 c1a1 f5c2 h2h3 g7g6 f1g1 e5e4 a1e1 f6f5 f2f3 f5f4 f3e4 f4g3 e4e5 f7f2 e5e6 f2g2 g1g2 d2g2 e1e2 g2e2 e6e7 e2e7 h3h4 g3g2 h1h2 g2g1q h2g1 e7e1,black
g77469,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4 e7e5 g1f3 b8c6 f1c4 d7d6 b1c3 a7a6 d2d3 c6a5 c4f7 e8f7 f3g5 f7e8 d1f3 d8f6 f3g3 h7h6 c3d5 f6d8 g3h4 c7c6 h4h5 e8d7 h5f7 g8e7 g5e6 d8e8 d5b6,white
g110453,4rb1r/pppk2p1/2np3p/6B1/8/P1N5/1PP4P/2KR2R1 w - - 0 19,g5h4 g7g5 h4g3 f8g7 c3d5 c6e5 b2b3 c7c6 d5e3 e5f3 d1d6 d7c8 g1d1 e8e3 d6d7 g7e5 d7f7 e5g3 h2g3 f3e5 f7g7 h8d8 d1f1 d8d7 g7g8 c8c7 f1f8 e3e1 c1b2 d7d2 f8c8 c7b6 a3a4 e1e2 b3b4 d2c2 b2b3 c2d2 b3c3 d2d3,black
g142466,r2qk2r/p3bpp1/2p1pn1p/3p2B1/3P4/2N3Q1/PPP2PPP/R4RK1 w kq - 0 12,g5h4 g7g5 h4g5 h6g5 g3g5 e8d7 c3a4 f6e4 a4c5 e7c5 g5g6 h8g8 g6f7 d8e7 f7e7 c5e7 f2f3 e4g5 f1e1 g5h3 g1h1 h3g5 e1e2 g8g7 a1e1 g7g6 f3f4 g5e4 f4f5 g6g5 f5e6 d7d6 h2h4 g5g3 h1h2 a8g8 e1g1 g8h8 a2a4 h8h4,black
g88287,r4r2/pp3kp1/4p3/3p1pq1/3P4/1P6/PKP1Q3/5R1R w - - 2 24,e2b5 g5e7 f1g1 a7a6 b5b6 a8c8 h1h7 f8g8 b6a5 e7c7 a5d2 b7b5 d2e2 c7c3 b2b1 c3d4 e2h5 f7f8 g1h1 d4e4 h1h2 e4e1 b1b2 e1e5 b2b1 e5f6 h7h8 f8e7 h8g8 c8g8 h5e2 e7f7 h2g2 g7g5 a2a4 b5a4 b3a4 g8b8 b1a2 f6b2,black
g91071,1n4k1/1bN1r1pp/2p2n2/1pB5/8/rP4P1/P4PBP/R4RK1 b - - 5 24,e7c7 c5a3 b8a6 a3d6 c7d7 f1d1 f6d5 d6e5 a6c5 g2h3 d7e7 e5d6 e7e2 d6c5 d5c3 d1d8 g8f7 d8d7 f7g6 d7b7 c3e4 c5e3 h7h5 a1c1 c6c5 h3g2 e4f6 e3c5 e2a2 c5d4 f6g4 g2e4 g6g5 h2h4 g5h6 c1c5 g7g6 c5c7 g4f2 c7h7,white
g70346,r1bqnrk1/1p3ppp/p1nbp3/8/2B1N3/2P2N1P/P4PP1/R1BQ1RK1 w - - 0 13,e4d6 d8d6 a2a4 c6a5 c4d3 g8h8 c1a3 d6d8 a3f8 e8d6 f8d6 d8d6 f3g5 d6e7 g5h7 g7g6 h7f8 e7f8 d1f3 c8d7 f3f6 f8g7 f6e7 d7c6 f1e1 a8e8 e7b4 e8d8 d3e2 d8d5 c3c4 d5g5 g2g3 g5e5 f2f4 e5e2 b4a5 g7d4 g1f1 d4f2,black
g124848,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4 e7e5 f2f4 d7d5 e4d5 e5e4 d2d3 c8f5 g2g4 d8h4 e1d2 f5g4 d1e1 e4e3 e1e3 f8e7 h2h3 g8f6 f1g2 g4f5 g1f3 h4h6 c2c4 b8d7 f3e5 e8c8 e5f7 h6g6 f7g5 e7c5 e3f3 h8e8 h1e1 e8e1 d2e1 d8e8 e1f1 f5d3 f3d3 g6d3,black
g32653,r1bq1rk1/ppp2ppp/5n2/3Pp3/3b4/1PNP1N1P/1PP1QPP1/R1B1K2R b KQ - 0 10,f6d5 c3d5 d8d5 a1b1 c8f5 e1g1 e5e4 d3e4 f5e4 f1d1 e4f3 e2f3 d5f3 g2f3 d4b6 c2c4 a8d8 c1e3 d8d1 b1d1 g7g6 e3b6 c7b6 d1d7 f8b8 g1f1 h7h5 f1e2 g8f8 e2d3 f8e8 d7d4 a7a6 d3e4 b8c8 e4e5 c8c7 e5f6 e8f8 d4d8,white
g141197,r2q1rk1/p1p2ppp/bp6/2p4Q/4P3/2Pn2N1/P2N2PP/R3R1K1 w - - 2 19,e1e3 d8f6 h5f5 f6f5 g3f5 a8d8 d2f3 d3f4 g2g3 f4g6 f3h4 g6h4 f5h4 d8d2 h4f5 f8d8 a1e1 g8f8 e4e5 d2a2 e5e6 f7e6 e3e6 a6b5 e6e7 d8d2 f5h4 g7g5 e7c7 g5h4 c7c8 f8f7 c8c7 f7f6 e1c1 d2g2 g1h1 g2h2 h1g1 a2g2,black
g142899,r1bq1rk1/pp2bppp/2nppn2/2p5/4PP2/2NPBN1P/PPP3P1/R2QKB1R w KQ - 1 8,d1d2 a7a6 g2g4 b7b5 e1c1 b5b4 c3e2 c8b7 c1b1 c6a5 e2g3 d6d5 e4e5 f6e8 f1g2 a8c8 f4f5 d8c7 h3h4 c5c4 d3d4 c4c3 d2f2 c3b2 g2f1 a5c4 f1c4 d5c4 b1b2 c7a5 b2a1 a5a3 g3h5 b4b3 c2b3 c4b3 a1b1 c8c2 d1d2 a3a2,black
g136605,r4rk1/pppq1pp1/5n1p/3PpR2/3bP2Q/2N4R/PPP1B1PP/7K w - - 4 20,f5f6 g7f6 h4h6 d7h3 h6h3 f8e8 e2g4 g8f8 c3b5 e8d8 b5c7 a8b8 c2c3 d4b6 c7e6 f7e6 g4e6 f8e7 h3h7 e7d6 h7f7 d6c5 b2b4 c5b5 f7f6 d8f8 e6f7 b6c7 d5d6 c7b6 f6e5 b5c6 f7d5 c6b5 d5b7 b5a4 b7c6 a4a3 c6d5 f8f1,black
g94379,3r1rk1/ppp2ppp/2n1p3/3q4/1P3P2/P1NPb2P/1BP3P1/R2Q1RK1 w - - 0 16,g1h1 d5d7 f1e1 e3d4 a1b1 a7a6 c3e4 d4b2 b1b2 d7d4 b2b1 f7f5 e4c5 d4f4 c5e6 f4h4 e6d8 c6d8 e1e3 d8f7 d1f3 f7g5 f3b7 f5f4 e3e5 g5h3 b7f3 h3g5 h1g1 g5f3 g2f3 h4g3 g1f1 g3f3 f1g1 f3g3 g1f1 f4f3 b1e1 g3g2,black
g104716,r2qkb1r/pp1n1ppp/2p1pn2/3p2Bb/2PP4/3BPN1P/PP1N1PP1/R2QK2R b KQkq - 2 8,f8e7 c4d5 c6d5 g2g4 h5g6 d3g6 h7g6 g5f6 d7f6 d1a4 d8d7 a4d7 e8d7 e1d1 f6g4 d1e2 g4f6 a1c1 a8c8 c1c8 d7c8 h1c1 c8b8 c1c3 h8h3 f3g1 h3h2 g1f3 h2g2 f3e5 f6e4 d2e4 d5e4 e5f7 e7h4 f7d6 g2f2 e2d1 f2b2 c3c8,white
g8693,4R1k1/pp1n2p1/7p/8/1P4P1/P4N1P/1P6/1K6 b - - 0 30,g8h7 e8e7 d7f6 e7b7 f6e4 b7a7 e4f2 f3g1 f2e4 b4b5 e4d2 b1c2 d2c4 a7c7 c4d6 c7c6 d6b5 c6c8 b5d4 c2d3 d4e6 a3a4 e6f4 d3e4 f4g2 a4a5 g2h4 a5a6 h4g6 a6a7 g6e7 c8e8 e7c6 a7a8q c6b4 h3h4 b4c2 h4h5 c2e1 e8h8,white
g151662,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 c8d7 d4e5 d6e5 e1g1 f8d6 b1c3 g8f6 c1g5 e8g8 c3d5 h7h6 d5f6 g7f6 g5h6 c6e7 b5d7 d8d7 f3h4 e7g6 d1h5 d7e8 a1d1 g6f4 h6f4 e5f4 h5g4 g8h7 d1d5 f8g8 d5h5,white
g103882,2r2rk1/pp2b1pp/1q2ppn1/3pP1B1/b2P4/Pn1B1N2/1PN1QPPP/1R3RK1 w - - 0 17,e5f6 e7f6 g5f6 f8f6 c2b4 b3d4 f3d4 b6d4 b2b3 a4d7 f1d1 d4h4 g2g3 h4h6 b4c2 c8f8 d1f1 e6e5 c2e3 e5e4 e3d5 e4d3 e2d3 f6d6 d3c4 g8h8 b1d1 d7c6 b3b4 h6h3 f2f4 f8d8 b4b5 c6d5 d1d5 d6d5 c4e4 d5d2 e4f3 h3h2,black
g74400,8/kpp3r1/1pb5/P1p1R3/8/1P1P1P2/2P2KP1/R7 b - - 0 35,b6b5 c2c3 g7d7 f2e3 d7g7 g2g4 g7f7 f3f4 f7d7 d3d4 c5d4 c3d4 d7h7 f4f5 h7h3 e3f4 h3f3 f4g5 f3b3 f5f6 b3f3 e5f5 f3d3 f6f7 d3d4 f7f8q c6e4 f8c5 b7b6 a5b6 a7b7 c5d4 c7b6 d4e4 b7c7 a1a7 c7d8 e4e7 d8c8 f5f8,white
g4121,Q7/8/1k6/8/7p/7K/2B5/8 b - - 0 49,b6c5 a8h8 c5c4 h8h4 c4c3 c2h7 c3d2 h3g4 d2e3 g4h3 e3f3 h3h2 f3e3 h4g4 e3f2 h7d3 f2e3 h2g2 e3d2 g2f2 d2c3 g4e4 c3d2 e4e3 d2c3 d3h7 c3c4 e3e5 c4b4 f2e3 b4c4 h7d3 c4b3 d3h7 b3c4 e3d2 c4b3 e5c5 b3a4 h7c2,white
g35403,rnbqkbnr/ppp1pppp/8/3pP3/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,e7e6 d2d4 b8d7 c2c4 d5c4 f1c4 a7a6 g1f3 b7b5 c4b3 c7c5 d4c5 f8c5 e1g1 d8b6 b1c3 g8e7 a2a4 c8b7 a4b5 a6b5 a1a8 b7a8 c3e4 a8e4 c1g5 b6a7 d1e2 e4f3 e2f3 h7h6 g5h4 g7g5 h4g3 a7c7 f1d1 d7e5 f3a8 c7d8 a8d8,white
g35805,8/p1p4N/n2pk1p1/5p2/8/P6P/1P5r/1KR5 w - - 1 30,h3h4 h2h4 h7g5 e6e5 g5f3 e5f4 f3h4 g6g5 h4g6 f4f3 g6e7 f5f4 e7c6 g5g4 c6a7 g4g3 c1f1 f3g2 f1d1 f4f3 d1d2 f3f2 b1c2 g2g1 d2d1 f2f1q d1f1 g1f1 a7b5 g3g2 b5c7 a6c7 b2b4 g2g1q a3a4 g1b6 c2b3 b6e3 b3c4 d6d5,black
g87364,8/3r1k2/p3R1p1/1p1P3p/1P1K3P/P5P1/8/8 b - - 4 55,d7d8 e6a6 d8b8 a6c6 b8a8 d4c5 a8a3 c5b5 a3g3 d5d6 g3d3 b5b6 d3d4 b4b5 d4h4 b6c7 h4e4 b5b6 f7e8 d6d7 e8f8 d7d8q e4e8 d8e8 f8e8 c6g6 h5h4 b6b7 h4h3 b7b8q e8e7 b8d8 e7f7 d8f6 f7e8 g6h6 h3h2 h6h7 h2h1q f6e7,white
g45992,2r3k1/1b2rp1p/pqNp1bp1/1p1P4/2p1B3/2P4P/PPQ2PP1/3RR1K1 b - - 3 23,e7c7 e1e2 f6g7 e4f3 g8f8 d1e1 g7f6 f3g4 b7c6 g4c8 c7c8 d5c6 b6c6 c2d2 f6e5 d2h6 f8g8 f2f4 e5g7 h6g5 f7f6 g5g4 c6c5 g1h1 g8f8 g4e6 c5c6 e6e7 f8g8 e7a7 f6f5 e2e7 g7h6 e7h7 c8f8 h7h6 f8f7 a7b8 g8g7 b8h8,white
g169937,r1bq1rk1/pp1n1pbp/2p2np1/3pp3/8/1P1PP1P1/PBPNNPBP/R2QK2R w KQ - 0 9,e1g1 d8e7 e3e4 f8e8 e4d5 c6d5 c2c4 d7c5 d2e4 d5e4 d3e4 e8d8 d1c2 c5d3 f1d1 d3b2 d1d8 e7d8 c2b2 f6d7 e2c3 d7f6 c3d5 d8e7 d5f6 g7f6 a1d1 g8g7 b2d2 c8e6 d2d6 a8d8 d6e7 d8d1 g2f1 e6h3 e7f6 g7f6 f2f3 d1f1,black
g51099,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4 d7d5 c1f4 c7c5 d4c5 e7e6 b2b4 b8c6 c2c3 a7a6 e2e3 g8f6 f2f3 f8e7 f4g3 e8g8 g1e2 b7b5 e2d4 c6d4 c3d4 d8d7 f1d3 e7d8 d3c2 d8c7 g3h4 c7d8 d1d3 f6h5 d3h7,white
g28124,r2qk1r1/ppp1n1bp/5pp1/8/3B4/1P2PN2/P1PP1PPP/RN2K2R w KQq - 1 13,b1c3 f6f5 d4g7 g8g7 f3e5 c7c6 d2d4 d8a5 e1d2 e7d5 b3b4 a5b4 a1b1 b4c3 d2e2 c3c2 e2f3 c2e4 f3g3 f5f4 g3h3 f4e3 e5c4 e8c8 b1e1 d5f4 h3g3 f4h5 g3h3 d8d4 g2g3 d4c4 e1e3 e4h1 e3e8 c8d7 e8e3 d7c7 a2a3 h1f1,black
g57417,r1b2rk1/ppq2pp1/3p3p/2p5/2B1P3/6Q1/PPP2PPP/R4RK1 b - - 1 14,c8e6 c4e6 f7e6 h2h3 a8e8 f2f4 d6d5 e4e5 c5c4 a1e1 b7b5 g3g4 a7a5 f4f5 e6f5 f1f5 f8f5 g4f5 c7c5 g1h1 e8f8 f5g4 c5f2 e1d1 d5d4 d1d4 f2e1 h1h2 e1e5 h2g1 e5e3 g1h1 f8f1 h1h2 f1g1 d4d8 g8h7 g4f5 g7g6 f5f7,white
g104229,r4rk1/pp1nqpp1/2pbpnp1/3p4/3P4/1P2P1P1/PBPN1PBP/R2QR1K1 w - - 6 13,c2c4 e6e5 d4e5 d6e5 b2e5 e7e5 d2f3 e5e7 c4d5 f6d5 f3d4 d7f6 a1c1 a8d8 d1e2 f8e8 e1d1 a7a6 e2b2 e7e5 d1d2 f6g4 c1d1 d5e3 f2e3 e5e3 g1h1 f7f6 d2e2 e3e2 d4e2 d8d1 g2f1 d1f1 h1g2 f1f2 g2h3 f6f5 b2c2 f2h2,black
g55535,r4rk1/pbq1b3/1p2p1Bp/3pPp1P/3BnP2/2P2N2/PPQ2RP1/R5K1 w - - 1 23,f2e2 g8g7 a2a4 b7a6 e2e1 a8c8 a4a5 b6a5 c2a4 e7d8 b2b4 e4c3 a4b3 c3e4 a1a5 a6c4 b3a3 a7a6 e1a1 d8e7 a5a6 c4a6 a3a6 c8b8 a6e6 e7b4 a1a5 b4a5 e6a6 b8b1 g1h2 a5d2 e5e6 g7g8 a6b6 c7f4 h2h3 b1h1 f3h2 f4g4,black
g46718,2r2rk1/1p5p/3p2b1/p3p1P1/q2PPp1Q/5P2/1P1K4/6RR w - - 3 31,g1c1 a4d4 d2e2 d4b2 e2d3 c8c1 h1c1 b2c1 h4f2 c1b1 d3e2 b1b2 e2f1 b2f2 f1f2 f8c8 f2e2 a5a4 e2d3 a4a3 d3d2 a3a2 d2e2 a2a1q e2f2 b7b6 f2g2 b6b5 g2f2 b5b4 f2e2 b4b3 e2d3 b3b2 d3d2 b2b1q d2e2 b1b2 e2d3 a1a3,black
g72886,4rrk1/5p2/pp4p1/4n1Rp/8/PP4N1/K1P3qP/1Q4R1 b - - 3 29,g2d2 g3h5 e5f3 h5f6 g8g7 f6e8 f8e8 g1g2 f3g5 g2d2 g5f3 b1b2 f7f6 d2d7 g7h6 b2f6 f3e5 f6g7 h6g5 d7d5 g5f5 g7d7 e8e6 d7f7 e6f6 f7b7 a6a5 b7c7 f6c6 d5e5 f5f4 c7e7 c6c2 a2b1 c2h2 e7f6 f4g3 e5g5 g3h3 f6h8,white
g131568,r1bqk2r/ppp1nppp/2np4/2b1p3/2B1P3/P1PP4/1P3PPP/RNBQK1NR w KQkq - 1 6,c1g5 e8g8 g1f3 g8h8 b1d2 f7f5 e4f5 c8f5 g5e3 c5b6 b2b4 d6d5 e3b6 d5c4 b6c5 f5d3 b4b5 e5e4 f3g5 e7g6 d1h5 h7h6 c5f8 d8g5 h5g5 h6g5 b5c6 a8f8 c6b7 f8b8 d2f1 b8b7 e1d2 b7b2 d2e3 c7c5 f1g3 g6e5 h1e1 e5g4,black
g93414,8/p1p5/1pkr2R1/8/8/2N5/PPP5/4K3 w - - 2 34,b2b4 d6g6 c3e4 g6g4 e1d2 g4e4 c2c3 e4c4 d2c2 b6b5 c2b3 a7a5 a2a4 a5b4 c3b4 c4h4 a4b5 c6b5 b3c3 c7c6 c3d3 c6c5 d3c2 b5b4 c2b2 h4h3 b2c2 b4c4 c2d2 h3a3 d2c2 a3a2 c2c1 a2h2 c1b1 c4d3 b1c1 c5c4 c1d1 h2h1,black
g56588,3Q4/8/8/P4k2/8/5b1P/1r4PK/8 w - - 2 55,h2g3 f3e4 d8f8 f5e6 f8g8 e6d6 g8f8 d6d5 f8f7 d5c6 f7e8 c6d5 g3f4 b2f2 f4g5 f2f5 g5g4 f5e5 e8b5 d5d4 a5a6 e5b5 a6a7 b5a5 g4f4 a5a7 g2g4 a7f7 f4g3 d4e3 h3h4 f7f3 g3h2 e3f2 g4g5 f3f4 h2h3 e4g2 h3h2 f4h4,black
g124710,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e3 b7b6 c2c4 c8b7 a2a3 e7e6 d1c2 d8e7 b1c3 d7d5 c4d5 e6d5 b2b4 b8d7 c1b2 e8c8 a1c1 d7e5 g1e2 g8f6 e2d4 e7d7 c3b5 f8d6 b5d6 d7d6 d4b5 d6d7 b2e5 c7c6 b5a7,white
g22823,r3kbnr/1pp2bpp/p4p2/2p5/4PN2/4BP2/PPP3PP/RN1R2K1 b kq - 4 12,f8d6 b1c3 g8e7 f4d5 e7d5 c3d5 e8c8 c2c4 h8e8 b2b3 f6f5 d5c3 d6e5 d1d8 e8d8 a1c1 e5d4 e3d4 c5d4 c3d5 f7d5 e4d5 c7c6 d5c6 b7c6 c4c5 d8d7 g1f2 c8d8 f2e2 d8e7 e2d3 e7e6 c1e1 e6d5 b3b4 d7b7 f3f4 b7b4 e1e5,white
