game_id,anchor_fen,moves,winner
g84640,rn1qkbnr/pp3ppp/2p1p3/8/3P1B2/N1P2NP1/PP3P1P/R2QKR2 b Qkq - 1 11,h7h6 a3c4 f8e7 d1e2 g8f6 c4e5 f6d5 f4d2 e8g8 e1c1 e7f6 g3g4 b8d7 h2h4 d7e5 f3e5 f6h4 f2f4 d5e7 g4g5 h6g5 f4g5 e7f5 f1h1 h4g5 d2g5 d8g5 c1b1 f5g3 e2h2 g3h1 d1h1 g5h6 h2g2 h6f4 b1a1 g7g6 e5g6 f7g6 g2g6,white
g50206,8/6pb/1p3p1p/2kP4/1P2P1P1/2K2B1P/8/8 b - - 0 39,c5b5 f3e2 b5a4 e2d3 h7g8 b4b5 g8f7 c3d4 f7e8 e4e5 f6e5 d4e5 e8b5 d3b5 a4b5 d5d6 b5c5 d6d7 b6b5 d7d8q b5b4 d8d3 b4b3 d3b3 c5c6 b3f3 c6d7 f3f7 d7d8 f7g7 d8c8 g7h6 c8b8 h6g7 b8a8 e5d6 a8b8 d6c6 b8a8 g7b7,white
g128797,r1bqkbnr/pp1p1ppp/2n1p3/2p5/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,d2d4 c5d4 c1f4 g8f6 f4g5 e6e5 c4d5 f8e7 d5c6 d7c6 f3e5 e8g8 h2h4 f6e4 d1e2 e4g5 h4g5 e7g5 e2h5 g5h6 b1a3 d8e7 a3c4 f7f6 e1d1 f6e5 f2f4 e5e4 c4e5 f8f4 e5g4 c8g4 h5g4 f4g4 h1e1 g4g2 c2c4 e7g5 a1c1 g5d2,black
g119292,r2q2k1/ppp1b1pp/2n2n2/3pp3/8/PQPPNP1P/1P3P2/R1B2RK1 w - - 1 15,e3g4 d8d7 f1e1 c6a5 b3c2 e7d6 b2b4 a5c6 c1g5 f6h5 c2b3 d7f7 b3d1 a8f8 g1g2 h5f4 g5f4 f7f4 e1e3 h7h5 g4h2 e5e4 d3e4 f4h2 g2f1 h2h3 f1e2 d5e4 f3e4 h3g4 f2f3 g4g2 e2d3 c6e5 d3d4 f8d8 d1b3 g8h8 e3e1 g2d2,black
g114488,6k1/ppp3pp/2n5/8/8/8/bn2K3/8 w - - 0 34,e2d2 a2f7 d2c2 b2a4 c2b1 a4b6 b1c1 g7g5 c1d2 h7h5 d2e2 h5h4 e2f3 g5g4 f3g4 a7a5 g4h4 a5a4 h4g3 a4a3 g3f2 a3a2 f2e2 a2a1q e2d2 a1a2 d2e3 a2c4 e3f3 c4d4 f3g3 d4e4 g3h3 e4g6 h3h2 g6g4 h2h1 f7d5 h1h2 g4g2,black
g95692,r1bqkbnr/pp1p1ppp/2n1p3/2p5/2P1P3/2NP4/PP3PPP/R1BQKBNR b KQkq - 2 4,a7a6 c1f4 b7b6 d1d2 c8b7 g1f3 d7d6 f1e2 f8e7 f4g3 c6d4 e1c1 g8f6 c1b1 d8d7 e4e5 f6g4 f3d4 c5d4 e2g4 d4c3 d2c3 b7g2 h1g1 g2b7 e5d6 e7d6 g3d6 d7d6 g4h3 d6h2 c3g7 e8c8 h3e6 f7e6 g7e7 h2f2 g1g7 f2f3 e7c7,white
g54120,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4 e7e6 e2e4 c7c5 g1f3 c5d4 f3d4 b8c6 b1c3 f8b4 f1e2 d8b6 c1e3 b4c3 b2c3 b6a5 e1g1 a5c3 d4b5 c3e5 b5d6 e8f8 f2f4 e5f6 e4e5 f6e7 e3c5 e7d8 d6b7 f8e8 b7d8 c6d8 d1d6 d8b7 d6f8,white
g44732,3r1b1k/1ppq1P1p/p5np/3N2r1/1P2P3/P6P/B4QP1/3R1RK1 b - - 0 28,f8g7 d5f6 d7d1 f1d1 d8d1 g1h2 g6f8 h3h4 g5g6 e4e5 d1a1 h4h5 g6g5 e5e6 f8e6 a2e6 a1a3 f6d7 g5h5 e6h3 h5g5 f7f8q g7f8 f2f8 g5g8 f8f6 g8g7 h3e6 a3g3 f6f8 g7g8 e6g8 g3g8 f8f6 g8g7 d7f8 b7b6 f8e6 a6a5 f6g7,white
g122597,r1bq1rk1/ppp2ppp/3p1nn1/3P4/1PPN1P2/P2B4/6PP/RNBQ1R1K b - - 0 13,c8g4 d1c2 f8e8 h2h3 g4d7 b1c3 c7c5 d4f5 d7f5 d3f5 e8e7 f5d3 f6h5 h1h2 d8e8 c3e4 f7f5 e4d6 e8d7 d6f5 e7f7 g2g4 h5f4 c1f4 a8e8 f4g3 f7f6 b4c5 g6e5 f5d6 e5f3 f1f3 f6f3 d3h7 g8f8 d6e8 d7e8 g3d6 f8f7 c2g6,white
g45489,rnb1k2r/pp2ppb1/1qpp1np1/7p/3P1P2/1PP1PNP1/P5BP/RNBQ1RK1 b kq - 0 9,h5h4 f3h4 h8h4 g3h4 c8g4 g2f3 g4f3 d1f3 f6h5 c1b2 b8d7 b1d2 e8c8 d2c4 b6c7 e3e4 b7b5 c4e3 c7b6 g1h1 d8h8 e3g2 h5f6 e4e5 d6e5 d4e5 f6d5 c3c4 b5c4 b3c4 b6b2 c4d5 c6d5 f3d5 c8d8 f1d1 d8e8 d5d7 e8f8 d7d8,white
g23127,8/p2R1pk1/b1p3pp/4p3/1P2B3/q3P2P/2P2PP1/6K1 w - - 2 28,d7a7 a3b4 a7c7 b4e1 g1h2 e1f2 c7c6 a6b7 c6c4 b7e4 c4e4 g7f6 c2c4 f6f5 e4g4 f2e3 g4g3 e3f4 c4c5 f5e6 h2g1 f4g3 c5c6 e6d6 c6c7 d6c7 h3h4 g3e1 g1h2 e1h4 h2g1 e5e4 g2g3 h4g3 g1f1 g3h2 f1e1 e4e3 e1d1 h2d2,black
g52051,2kq3r/1b1nbpr1/p1n4p/Pp1pPpp1/1PpP2P1/2P2N2/2BNQB1P/R4R1K w - - 0 22,g4f5 f7f6 e5e6 d7f8 f2g3 e7d6 e2g2 d8c7 a1e1 c6e7 g3d6 c7d6 g2g3 d6g3 h2g3 h6h5 h1g2 c8c7 f1h1 g7h7 d2f1 c7d6 f1e3 h5h4 g3h4 g5h4 e3g4 h8g8 g2h3 h7g7 h1g1 f8h7 h3h4 h7g5 f3g5 g7g5 g1g3 g8h8 g4h6 h8h6,black
g35302,8/8/4B3/p1p1P1k1/N5p1/6Pp/PPPK3P/8 b - - 1 33,g5g6 d2e3 g6g5 e6d5 g5f5 e5e6 f5f6 a4c5 f6e7 b2b3 e7d6 c5a4 d6e7 c2c4 e7d6 a4b6 d6e7 a2a3 e7d6 b3b4 d6e7 b4a5 e7d8 a5a6 d8e7 a6a7 e7d6 a7a8q d6e7 a8b7 e7d6 b7d7 d6e5 e6e7 e5f6 e7e8q f6g5 d7g7 g5f5 e8e6,white
g134517,2rqk1nr/1b3pp1/4p2p/ppp1N3/1P6/P2P4/1P1QNPPP/2KR3R w k - 0 17,d2f4 c5b4 c1b1 g8f6 g2g4 b7h1 d1h1 b4a3 h2h4 a3b2 g4g5 d8c7 e2d4 h6g5 f4g5 c7c3 g5g7 h8f8 g7f6 c3d4 h1g1 d4a4 b1b2 a4c2 b2a1 c2a4 a1b1 a4b3 b1a1 b3a3 a1b1 a3b3 b1a1 b3a3 a1b1 c8c3 g1g7 a3b3 b1a1 c3c1,black
g19046,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4 e7e5 d2d4 e5d4 d1d4 b8c6 d4a4 a7a6 a2a3 d7d5 b1c3 d5e4 c3e4 h7h6 f1d3 g8f6 c1e3 f8d6 e1c1 c8e6 e4d6 c7d6 h2h3 e8g8 g1f3 b7b5 a4h4 f6d5 e3g5 h6g5 h4h7,white
g86624,r3k2r/p3b1pp/2pp3n/1p2p3/4Pq2/P1PP1P1P/1PQN2P1/R3K2R w KQkq - 0 17,e1c1 e8g8 c1b1 a7a5 d1f1 f4f7 f1f2 d6d5 g2g4 f7e6 h3h4 b5b4 a3a4 b4c3 c2c3 e7b4 c3c2 d5d4 d2c4 a8b8 g4g5 h6f7 h1g1 b4c3 b2b3 f7d6 h4h5 d6c4 d3c4 e6d6 g5g6 h7h6 g1f1 d6a3 c2a2 b8b3 f2b2 b3b2 a2b2 a3b2,black
g40460,r1b1k2r/p1ppb2p/1p2q1pB/4P3/3Q4/2NP4/PPP2PPP/R4RK1 b - - 0 13,c8b7 c3e4 b7e4 d4e4 c7c6 f2f4 e7c5 g1h1 a7a5 h6g7 e8f7 g7h8 a8h8 d3d4 c5e7 f4f5 g6f5 f1f5 f7e8 a1f1 e8d8 e4e2 d8c7 e2a6 c7b8 a6b6 b8a8 b6a5 a8b7 f1f3 h8g8 f3b3 b7c8 a5a6 c8c7 f5f2 e6d5 b3b7 c7c8 a6a8,white
g139445,r4rk1/1bb1q1pp/p1n5/1p2pp2/P2p4/1P1P1B1R/1BPNQPPP/R5K1 b - - 3 20,a8e8 a4b5 a6b5 f3c6 b7c6 a1a7 e7d6 e2h5 d6h6 h5h6 g7h6 a7c7 c6d5 h3h6 f8f7 c7f7 g8f7 h6h7 f7g6 h7d7 d5e6 d7d6 e8e7 d2f3 g6f6 h2h3 f6f7 f3e5 f7f6 e5c6 e7h7 c6d4 f6e5 d6e6 e5d5 e6f6 d5c5 f6f5 c5b4 f5b5,white
g26579,2k1q2r/ppp3bp/4b1p1/P1N5/4p3/1P2P1P1/R1P2P1P/1N1rK2R w K - 0 17,e1d1 c8b8 a5a6 b7b6 c5e6 e8e6 d1e2 e6g4 e2f1 h8d8 b1c3 g4f3 h1g1 d8d2 c3e2 f3e2 f1g2 e2f2 g2h3 f2f5 g3g4 g7f6 g4f5 g6f5 g1g8 f6d8 a2a1 c7c5 a1a2 b8c7 a2a1 d2c2 a1d1 d8f6 g8f8 f6e5 f8f7 c7c6 d1d7 c2h2,black
g61693,rnbqkbnr/pp2pppp/2p5/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,b8d7 e2e3 g8f6 f1d3 h7h6 b1d2 g7g6 c2c3 f8g7 d1e2 b7b6 h2h4 e8g8 f3e5 c8b7 g2g4 a7a5 g4g5 f6h5 f4h2 h6g5 h4g5 d7e5 h2e5 g7e5 d4e5 e7e6 h1h5 g6h5 e2h5 f8e8 h5h6 c6c5 d3h7 g8h8 h7g6 h8g8 h6h7 g8f8 h7f7,white
g4361,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4 b7b6 d2d4 g7g6 b1c3 f8g7 g1f3 c8b7 f1d3 e7e6 c1e3 g8e7 d1d2 d7d6 e1c1 d8d7 h2h4 b8c6 h4h5 e8c8 c3b5 c8b8 d4d5 e6d5 e4d5 c6a5 d2b4 e7d5 b4a4 d5e3 f2e3 b7c6 b2b4 a5b7 a4a7 b8c8 a7a8,white
g98262,r3kb1r/1pqn1pp1/p3p2p/2p1P3/P7/2N3P1/1P1BQP1P/R3KR2 w Qkq - 1 18,d2f4 g7g5 f4g5 h6g5 f2f4 g5f4 g3f4 e8c8 e1c1 f8h6 c1b1 d7b6 c3e4 d8d1 e2d1 b6d5 e4d6 c8b8 f4f5 d5e3 d1f3 e3f1 f3f1 h8f8 f5f6 c7a5 f1h3 a5e1 b1a2 h6f4 h3f3 e1b4 b2b3 b4d2 a2a3 d2c1 a3a2 c1c2 a2a3 f4c1,black
g152758,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e6 b1c3 c7c5 d2d4 d8c7 g2g3 b7b6 c1f4 f8d6 e4e5 d6f8 c3b5 c7b7 g1f3 h7h6 f1g2 b8c6 h1g1 a7a6 b5d6 f8d6 e5d6 g8f6 f3e5 f6d5 d4c5 d5f4 g3f4 b6c5 e5d3 b7b6 c2c3 c8b7 d1g4 e8g8 g2f3 g8h8 f3e2 c6d8 g4g7,white
g80450,2k3nr/1pp1b1pp/p7/4BN2/2b5/1q6/1PKQ1PPP/5B1R w - - 3 23,c2c1 h7h6 e5g7 e7g5 d2g5 h6g5 g7h8 c4f1 g2g4 f1b5 h2h4 b3a4 h4g5 a4a1 c1c2 a1h1 h8f6 g8f6 g5f6 h1e4 c2c1 e4g4 f5e7 c8d7 e7d5 c7c6 d5c3 g4f4 c1c2 f4f6 c3b5 f6f2 c2b3 a6b5 b3b4 f2d4 b4a5 d7c7 b2b4 d4b6,black
g50526,r2qkbnr/pb3ppp/2n5/1B2p3/8/8/PPPP1PPP/RNBQK1NR w KQkq - 2 6,b1c3 f8c5 g1f3 g8f6 e1g1 e8g8 d2d3 d8c7 f1e1 c5d4 f3d4 c6d4 b5c4 c7c6 f2f3 f8e8 c3e4 d4f5 e4f6 c6f6 d1e2 f6g6 e2f2 a7a6 c1d2 b7c6 a2a4 f5d4 d2c3 a8d8 c3d4 d8d4 c4a6 d4f4 a6b5 f4f3 f2c5 f3f1 e1f1 g6g2,black
g93064,5r2/6kp/p7/2R5/2P3n1/3b2P1/P4PK1/1R6 w - - 0 37,b1b7 g7h6 b7b6 d3g6 f2f4 h6g7 b6a6 g6e4 g2h3 g4f2 h3h4 f8d8 c5g5 g7h8 a6e6 e4g6 g5e5 d8a8 h4g5 a8a2 f4f5 g6f7 e6e7 f7g8 e7e8 f2d3 e5b5 a2a7 b5b8 a7g7 g5h4 h7h5 h4h5 h8h7 h5h4 d3f2 f5f6 g7g4 h4h5 g8f7,black
g91568,r3r1k1/pp3p1p/3p2p1/2pnb3/4q1P1/PP3N1P/B4PK1/1RB5 w - - 0 25,b3b4 d5f4 g2g3 f4e2 g3g2 e2c1 b1c1 b7b6 c1d1 e4c2 a2f7 g8f7 d1e1 e5f6 g4g5 e8e1 f3e1 c2e4 e1f3 f6g5 g2g3 e4f4 g3g2 g5f6 f3h2 f6e5 h2g4 f7g7 g2f1 a8f8 f1e2 h7h5 g4e5 f4e5 e2d3 e5d4 d3e2 f8f2 e2e1 d4d2,black
g85014,1rbq1rk1/pp1pnpbp/2n1p1p1/2p5/4PP2/2NP1NP1/PPP3BP/R1BQ1RK1 w - - 5 9,a1b1 b7b5 a2a3 a7a5 c3e2 b5b4 a3b4 a5b4 c2c3 b4c3 d1c2 c3b2 c1b2 g7b2 b1b2 b8b2 c2b2 d7d6 d3d4 c5d4 e2d4 c6d4 f3d4 c8d7 f1c1 d8a5 d4b3 a5a7 g1h1 f8b8 c1b1 d7a4 b2c3 a4b3 b1b3 b8b3 c3b3 a7a1 g2f1 a1f1,black
g169333,r2qkb1r/1b1p1pp1/p1n1p2p/1pP5/4P1n1/2NBBN2/PPPQ1PPP/2KR3R w kq - 5 10,h2h3 g4e3 d2e3 d8c7 f3h4 e8c8 f2f4 c8b8 g2g3 d7d5 e4d5 e6d5 e3f2 d5d4 c3e4 g7g6 h4f3 f7f5 e4d6 f8d6 c5d6 d8d6 h1e1 h8d8 f3e5 c6e5 e1e5 c7a5 c1b1 b7d5 b2b3 a5c3 d3f1 a6a5 d1d4 a5a4 f1b5 a4a3 b5c4 c3b2,black
g29909,r5k1/p1p3p1/1pn4p/2b1q3/2B5/P3p1N1/1P1Q2PP/5R1K b - - 1 23,g8h8 d2d3 a8d8 d3g6 c6e7 g6h5 e5g5 h5e2 c7c6 g3e4 g5e5 e4c5 e5c5 f1f7 c5c4 e2c4 d8d1 f7f1 e3e2 c4e2 d1f1 e2f1 h8g8 f1c4 g8f8 c4e6 c6c5 h2h4 e7g8 g2g4 g8f6 g4g5 h6g5 h4g5 f6e8 g5g6 e8d6 e6d6 f8g8 d6d8,white
g95206,8/6kp/4Kp2/4p3/6r1/5RP1/8/8 w - - 8 43,f3f6 g4g3 e6e5 g3g5 f6f5 g7g6 f5g5 g6g5 e5e6 g5g4 e6f6 h7h5 f6e5 h5h4 e5e4 h4h3 e4e3 h3h2 e3f2 h2h1q f2e2 h1f3 e2d2 g4f4 d2c2 f3e3 c2d1 f4e4 d1c2 e3d3 c2c1 d3e2 c1b1 e2d2 b1a1 e4d3 a1b1 d3c3 b1a1 d2b2,black
g161513,r4rk1/pb1q2pp/1p1bp3/2pp1p2/3PnB2/2PBPQ2/PP1N1PPP/3R1RK1 w - - 2 13,f3h3 d6f4 e3f4 d7f7 d2f3 c5d4 c3d4 a8c8 d3e4 d5e4 f3g5 f7g6 h3b3 b7d5 b3a4 c8c7 d1c1 f8c8 c1c7 c8c7 f2f3 h7h6 f3e4 f5e4 g5h3 e4e3 g2g3 g6g4 h3f2 g4f3 a4e8 g8h7 f2e4 d5e4 f1f3 e4f3 h2h4 c7c1 g1h2 c1h1,black
g73193,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,b8c6 e2e3 e7e5 c2c3 e5d4 c3d4 d7d5 b1c3 g8f6 f1d3 f8b4 f2f4 b4c3 b2c3 e8g8 g1f3 f8e8 e1g1 d8e7 f3e5 c6e5 f4e5 f6e4 d1c2 f7f5 e5f6 g7f6 d3e4 d5e4 c3c4 f6f5 d4d5 b7b6 c1b2 c8b7 c2c3 c7c6 c3h8 g8f7 h8g7,white
g59861,1n3rk1/1p1n2p1/r2Np2p/pNp1P3/5P2/P6P/1PP3P1/R4RK1 b - - 0 18,a6d6 b5d6 b7b6 g2g3 b8c6 c2c3 c6e7 g1g2 e7d5 f1f3 c5c4 d6c4 f8c8 c4d6 c8c6 a1d1 c6c5 b2b4 a5b4 c3b4 c5c2 g2g1 c2a2 d1c1 g8h7 f3d3 a2e2 g3g4 d5f4 d3f3 e2e4 c1f1 f4d5 d6e4 d7e5 f3f8 d5e3 f1f7 e5g6 e4f6,white
g172626,rnbqk2r/pp2n1bp/2p1ppp1/3p4/2PP4/2NBPN2/PP1B1PPP/R2Q1RK1 b kq - 1 8,d8d6 d1c1 e6e5 d4e5 f6e5 d3e2 e5e4 f3d4 g7d4 e3d4 h7h5 c4d5 e7d5 c3d5 d6d5 d2e3 c8f5 e2c4 d5d6 f1d1 b7b5 c4b3 b8a6 d4d5 c6c5 a2a4 a6b4 a4b5 b4d3 c1c3 e8c8 a1a7 h8f8 d1a1 f5g4 b3c4 d3b4 c3g7 b4c2 g7b7,white
g150343,r1bqr1k1/2pp1pp1/p2b1n1p/1N2p3/4P2B/1P1P1N2/1PP2PPP/R2Q1RK1 b - - 0 12,c8b7 b5d6 c7d6 d1d2 g8f8 d2b4 d8c7 h4g3 a8b8 b4d2 f6h5 c2c3 f7f6 h2h3 h5g3 f2g3 b7c8 d3d4 b8b3 a1a4 e5d4 f3d4 b3b6 d4f5 c8b7 f1e1 c7c6 a4d4 c6c5 g1h2 d6d5 e4d5 e8e1 d2e1 b7d5 b2b4 c5b5 e1e7 f8g8 e7g7,white
g154569,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g1f3 b7b6 g2g3 c8b7 f1g2 e7e6 e1g1 d8e7 e2e4 f7f6 d2d3 g7g5 c1d2 h7h5 b1c3 e7g7 d1e2 g5g4 f3e1 f8e7 d3d4 h5h4 e1d3 h4g3 b2b3 g7h7 h2g3 h7h2,black
g23065,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4 c7c5 c2c3 b8c6 f1d3 d7d5 g1f3 d5e4 d3e4 g8f6 e4c2 e7e6 e1g1 f8d6 d2d4 e8g8 c1e3 c5d4 c3d4 d8c7 d1d3 b7b6 e3g5 f6d5 d3h7,white
g110058,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4 g7g6 d2d4 f8g7 g1f3 d7d6 c2c3 b8d7 c1g5 h7h6 g5e3 g8f6 f1d3 e8g8 d1d2 g8h7 h2h4 e7e5 h4h5 g6g5 d4e5 d6e5 e3g5 h6g5 f3g5 h7g8 h5h6 d7c5 h6g7 c5d3 e1f1 g8g7 b1a3 f8h8 h1h8 d8h8 a1d1 d3f4 g2g3 h8h1,black
g78714,1r3rk1/3n1pp1/2p5/pp1p2Pp/N2PbP1P/P7/1PP1N3/1K1R1R2 w - - 0 23,a4c3 e4g2 f1f2 g2h3 e2g3 h3g4 d1e1 f8e8 f2f1 g4h3 f1g1 h3g4 b1c1 c6c5 d4c5 d7c5 c3d5 b8d8 d5e3 b5b4 e3g4 h5g4 e1e8 d8e8 a3b4 a5b4 g3f5 g7g6 f5d4 e8d8 d4c6 d8c8 c6b4 c5b3 c1b1 b3d2 b1a2 c8a8 b4a6 a8a6,black
g111514,4r3/8/8/4p1R1/2kp2P1/5P1P/4K3/8 b - - 0 62,d4d3 e2d2 c4d4 g5g7 e8a8 g7d7 d4c4 d7d3 a8a2 d2e3 a2h2 d3d8 h2h3 e3e4 h3g3 d8f8 g3g1 e4e5 g1e1 e5f4 c4d5 f8d8 d5e6 d8e8 e6f6 e8e1 f6g6 e1e6 g6f7 f4f5 f7g7 e6f6 g7h7 f6g6 h7h8 f5f6 h8h7 f6f7 h7h8 g6h6,white
g1164,r4rk1/2pq2b1/2n1p1pp/Pp3p2/3P1P2/P3PN2/1BQ1N1PP/R4RK1 b - - 0 21,a8a5 b2c3 a5a6 c2d3 d7d5 a1b1 f8b8 a3a4 b5a4 d3a6 b8b1 f1b1 d5a2 b1b8 g8h7 b8b2 a2a3 a6c6 a3a1 g1f2 a4a3 b2b3 a1d1 b3a3 g7f8 a3a1 d1d3 c6d7 f8g7 d7e6 h6h5 a1a6 g6g5 f3g5 h7h8 a6a8 g7f8 e6h6 h8g8 a8f8,white
