puzzle_id,fen,mating_moves,rating
zOqjW,r1b1k1nB/ppp4p/5p2/4q3/1n6/2P5/P2PPPPP/R2QKBNR b KQq - 0 9,b4d3,1120
2jmPa,Qnk4r/1p6/2p3p1/3pqb2/4P3/2N5/PPP1BPPP/R4RK1 b - - 0 18,e5h2,889
S3ckc,2kr2r1/B1pqbp2/1p4p1/1P2p2n/5P1p/P2B1Q1P/2P3P1/R4RK1 w - - 0 19,f3a8,970
Sv9Na,2r3k1/2q2p2/4pP1Q/p2pP2p/2rn4/P7/6PP/5R1K w - - 0 33,h6g7,917
y3ao5,r1b3k1/1p3rpp/8/P7/1PB2pn1/B4q2/3K4/1R2R3 w - - 0 30,e1e8,951
iDuy9,8/8/5rpk/p7/2R1P1BK/3r3P/P1R5/8 b - - 6 43,g6g5,895
7OEpD,Q7/8/1q6/2k5/K7/8/8/8 b - - 0 59,b6b4,1113
euLZH,1r4k1/R1q1npp1/2p1p2p/2Q1N3/3P4/2P5/5PPP/1R4K1 b - - 0 28,b8b1,504
8G6eS,4r1rk/pp1n2qp/2p2p2/3p1Q2/3P4/2N1P3/PP3PPP/R3R1K1 b - - 1 17,g7g2,512
BxVwR,r4rk1/pb3ppp/1p2p3/2pqP3/3P1P2/P2B4/1P1B2PP/R2Q1R1K b - - 0 16,d5g2,590
FYGNH,r2q1rk1/pp1bbppp/1nn1p3/3pP3/3P4/P4N2/1PQN1PPP/RBB1R1K1 w - - 1 14,c2h7,907
liFQV,4r1k1/1p1Q1pp1/p5p1/8/2q3P1/5P1R/5K1P/8 w - - 0 49,d7e8,589
fBGhR,r4rk1/pp3ppp/2n1bp2/8/3PQ3/2qBP3/P2NKPPP/7R w - - 0 16,e4h7,485
cVhoG,2r3rk/p2bR2n/6P1/8/8/2N5/PPP5/2K2n2 w - - 0 30,e7h7,1042
idC9A,r2q1rk1/ppp2ppp/3pbb2/8/4Q3/2N2nP1/PPP2PP1/1K1R1B1R w - - 0 15,e4h7,1411
YOsqb,2rq1rk1/4bpp1/p2p1n1p/1p5N/2n3Q1/P1P4P/1P4PN/R1B2R1K w - - 2 22,g4g7,1625
oMoBF,r4r2/2p1qpk1/1b2bN1p/pp1pP3/1P6/P4B1P/2Q2PP1/2R3K1 w - - 2 29,c2h7,1154
Khe0j,5r2/1R3pk1/p4rpp/P1NpQ3/1P1P3n/2P2PqP/6P1/5RK1 b - - 0 27,g3g2,1580
rwCsV,r1b2rk1/1pp2ppp/p1pN2q1/8/3P1n2/2P2N2/PP3PPP/R1BQR1K1 b - - 0 14,g6g2,1010
3xx7b,r1b1rk2/ppp3p1/5n1p/4R3/8/4B3/PP3PPP/RN1qQ1K1 b - - 4 17,d1e1,603
ExDAp,1r4k1/5ppp/4p3/7q/2P3b1/2P1BN2/r3BPPP/1R2K2R w K - 0 25,b1b8,544
V2ODz,1r2q1k1/p1pb1p2/3b1PpQ/2pp4/8/3B4/PPP3PP/R1B4K w - - 2 26,h6g7,877
NN0CO,r2q1rk1/2p2pp1/3bp2p/pP1n2N1/6PP/3QBP2/PP6/2KR3R w - - 1 17,d3h7,682
dRrZZ,r2q1rk1/2p1npp1/p3b2p/1p1pP3/P2P4/2NQ1N2/1nB2PPP/2R2RK1 w - - 0 19,d3h7,923
PpUbF,3k1b2/3P4/4K1pp/8/p7/2R1P2P/2P3P1/1q6 w - - 0 37,c3c8,578
CPqzs,1Q6/6R1/4pp2/3p1k1p/4n3/2r3P1/5P2/4qBK1 w - - 1 46,b8f4,1000
qEcxB,r6k/p5pp/5b2/2p5/2Np3P/1P3bPq/P2B1P2/R4QK1 b - - 2 28,h3h1,1006
d1hju,5n1N/ppq2Q2/3b1n2/2ppk2P/3p4/3B1PP1/PPP5/2K5 w - - 1 28,f3f4,1685
Ust9I,N1b2k1r/pp1pnppp/4p3/8/1B2n2q/8/PP1N1PPP/R2QKB1R b KQ - 0 12,h4f2,594
xbV6B,4r1k1/pp1N2pp/2p5/2P3Q1/5r2/4n3/P5PP/5R1K b - - 0 27,f4f1,690
lpwyJ,6k1/5pp1/Q3p2p/3p2b1/3PP3/2PK4/6q1/R5N1 b - - 0 34,g2e4 g2d2,904
kLq2m,rnQq1bnr/p1p1kBpp/8/8/3p1p2/6P1/PPP4P/RNB1K2R w KQ - 1 12,c8e6,985
xMsT2,2krrn2/1p2bp1p/p1pBpnp1/P7/2N1P3/5P2/1PP2P1P/3RKBR1 w - - 2 16,c4b6,966
78w2S,r7/5P1p/p3N2k/2b1p3/R5K1/3n3P/1Pr5/5R2 w - - 4 36,f1f6,919
ad5u5,N6r/1p1kbppp/p2p4/8/3PP2q/P4Pp1/BPPBQRb1/R5K1 b - - 2 19,h4h2 h4h1,866
BlYNe,8/8/R7/8/4Np2/1P2kP1P/7r/4K3 b - - 0 41,h2h1,1306
EZlJh,4rrk1/pR2Q2p/2p2ppb/5b2/8/N1q1PN2/P3K1PP/7R w - - 1 20,e7h7,1083
dK1kh,r1b2rk1/p1p2ppp/2p2n2/1pb5/3qP3/P1NP3P/1PPB1PP1/R2QKB1R b KQ - 2 9,d4f2,972
yWnBw,4r2k/p1b3pr/2p5/5p2/1PBP1q2/2R2N2/P5P1/4R1K1 w - - 1 31,e1e8,549
7zH4I,B7/p2Q4/3p2p1/2p4k/1p1bP3/4qN2/P4r2/1R1K4 w - - 0 35,d7h3,1385
bFaYM,4r1k1/p4ppp/1p1r4/2qp4/5P2/P7/KP4B1/3RR3 w - - 0 28,e1e8,418
mlC0Z,4r2k/1p3pp1/5Np1/pq2N3/1b1P4/7P/Q3r1P1/3R2K1 w - - 3 36,e5f7,1410
I6Diy,r4bnr/ppp1pkp1/2nqp2p/3p3P/6P1/3Q4/PPP2P2/RNB1K1NR w KQ - 0 12,d3g6,738
uQCwJ,k6r/p1BB1pp1/3p4/3P4/3Pp3/4b3/PPK3P1/7r w - - 0 32,d7c6,866
pTfU9,r2q1rk1/ppp2ppp/3b4/6N1/2npn3/7Q/PPP2PP1/RNB3K1 w - - 0 15,h3h7,944
reSRK,8/pb6/3kpp1p/B1pn4/P1K2P2/1P1B2P1/7P/8 b - - 1 35,b7a6,1280
qROZS,2kr3r/1pp3pp/8/6B1/4p3/P1P2bP1/2P2P1P/3RK1QR b K - 0 22,d8d1,811
vdD7b,3R4/5ppk/6p1/1p4Q1/8/p1r3PP/5q2/7K w - - 1 44,g5h4,1043
f34FS,r4rk1/pbq1b1p1/1p2p1Np/2pp4/2P3n1/1P1BP3/PBQ2PPP/3R1RK1 b - - 5 17,c7h2,812
Wi6AJ,r5rk/1R1R2pp/8/2n1Np2/p4P2/b6P/B5P1/6K1 w - - 5 37,e5f7,894
Q73rY,r1b2rk1/p1p2ppp/1p2p3/7R/2qP1P2/2P1P2P/P1Q3PN/5RK1 w - - 0 20,c2h7,857
NHJsu,r1b2k1r/ppp5/2np1nP1/2b1p3/4P3/1B1P2pp/PPP4N/RNBQ1R1K b - - 0 16,g3g2,1006
0eb7b,r1b2rk1/p1q1bpp1/1p1p3p/2p1pN2/4P1Q1/1P1P4/PBP2PPP/R4RK1 w - - 1 17,g4g7,1012
3p7Dl,8/3RPB2/6p1/4r2p/7P/6k1/8/6K1 b - - 1 53,e5e1,1038
qoFzJ,r4rk1/ppq2pp1/2p1p2p/3nP1N1/7P/2PQP3/PP4P1/1K1R3R w - - 1 17,d3h7,570
YMARs,6k1/p7/6p1/6Qp/3q2PK/1P5P/8/8 b - - 0 49,d4f2,1108
WxnY2,3r3k/b4Qpp/4P3/pp6/2p5/1P3P2/P2r1q1P/B1R1R2K w - - 3 30,f7g7 a1g7,1481
ibHYx,5R2/p1p4k/2p3p1/2b1p1B1/3qP1Q1/8/PP4PP/7K b - - 0 22,d4g1,1190
URuY0,rnb1kb1r/p5pp/2p1p3/2p1P3/3PK3/4B3/PP3qPP/R2Q1BNR b kq - 1 13,f2f5,1175
Fbx6f,r4rk1/p1p3pp/8/8/2pP2P1/2Nqp3/PP3PP1/R2QK2R b KQ - 1 20,e3f2,1184
UIf1I,1k6/pp6/4N1pp/4q3/8/8/PPP3P1/2KR4 w - - 0 31,d1d8,471
BebNl,rn1q1rBk/p1p1bpp1/1p2p3/4P3/2P3P1/2N5/PPQ2P2/R1B1K2b w Q - 0 14,c2h7,465
Wj2YJ,r1bqk2r/5pp1/p1pQp2p/8/4PP2/2b5/PPP3PP/2KR1B1R w kq - 0 13,d6d8,898
5MiTt,2b2rk1/p5pp/1p2qP2/2p5/P3P1Q1/1PB5/6PP/6K1 w - - 0 33,g4g7,1076
JFibo,8/5kp1/7p/4QK2/3q2P1/8/P7/8 b - - 8 57,g7g6,1751
x8POt,r3r1k1/ppp2p1p/6pP/2p1Q1P1/1nb1P3/3q1N2/PK1N1P2/5R1R w - - 0 24,e5g7,986
VFJlb,3rk2r/5pb1/pq5p/3PpQ2/2P5/P6P/1P3RP1/2R3K1 w k - 0 25,f5f7,865
1LBFv,8/1B6/8/4p1p1/b4kP1/2R4P/1r6/4K3 w - - 2 43,c3f3,1404
1PbEk,1r3r1k/1b3pp1/p1q1pN2/8/2p2P2/P5Q1/6PP/R1R4K w - - 2 27,g3h4 g3h3,772
FusiF,4kr2/2p2p1Q/3p4/3PpP2/4qn2/PpP3R1/3R4/3K1B2 b - - 0 31,e4b1,1056
wH7aL,r1b2rk1/1pQ2ppp/p2p4/4q3/4P1n1/P1NB4/1PP2PPP/R4RK1 b - - 0 14,e5h2,571
X6U0F,r2qk1nr/pp3pbp/3pp1p1/2p3P1/3nP3/3P3P/PPP1NP2/R1BQKB1R b KQkq - 1 10,d4f3,1466
EQAgI,1r4k1/5ppp/3r4/2p5/2P5/4n1Pq/PP2QP1P/R1B2RK1 b - - 2 29,h3g2,963
Zx8Zq,R3R3/6pk/5pr1/4n2p/8/PK4P1/7r/8 w - - 0 35,e8h8,439
5M2Sy,5k2/1pQ2pp1/p3p3/P2p3P/1q1P1P2/4P3/6K1/8 w - - 4 56,c7d8,1193
5sNKJ,r1bqk1nr/ppp2pbp/2np2p1/4p3/2B1P3/2N2Q2/PPPP1PPP/R1B1K1NR w KQkq - 2 6,f3f7,544
D9Gsn,3q1r2/1p3r2/3p3k/2pPp3/p1P1Pp2/3P1P1P/6QK/6R1 w - - 0 42,g2g6,648
ZoV1j,8/7p/3R2p1/2P1Npk1/1Pb2p2/8/5KPP/1r6 b - - 4 37,b1f1,1175
XDFPS,4rr2/p2q4/3b3k/1pp4P/8/3P4/1PP2P2/K2R2Qb w - - 0 31,g1g6,769
b8Lfl,rnbqkb1r/pp1np3/2p1p1pp/3pP2Q/3P4/2NB4/PPP2PPP/R1B1K2R w KQkq - 0 10,h5g6 d3g6,534
fowlc,8/7k/p1p5/1p4p1/1P1r1pP1/1R1n1KP1/P3r2P/2BR4 b - - 1 40,e2f2,1477
RSSy5,5rk1/p5b1/1p1p4/3NpqpQ/2Pn4/1P4PP/P6B/1R4K1 w - - 0 27,d5e7,1000
x6Bgc,3r1rk1/1b1n1ppp/ppq1p3/8/2BN4/2P4P/PP2QPP1/R3R1K1 b - - 0 18,c6g2,456
KA4Kg,r1b1k1r1/pp3p1p/2pQ1P2/8/2qpP3/8/PP4PP/R5RK w q - 1 19,d6e7,929
FQltj,r4rk1/4q1p1/p3p1Qp/1p1nn1N1/2p1N3/P5P1/1P3P2/R4RK1 w - - 0 25,g6h7,856
6jQgr,kr6/1p6/2pQ3p/pr6/q2P4/2P1RP1P/PP4P1/1K1R4 b - - 2 33,a4d1,1454
irO0x,6k1/pp4p1/6Q1/2p1p3/2P1P2r/PP1P1n2/7N/R6K b - - 0 41,h4h2,600
FoyIQ,5rk1/pp5p/2nb4/6p1/3pQ3/1P1P4/PBP3PP/5R1K b - - 0 25,f8f1,536
xSHzM,1kr2R2/1p4pp/1P6/4P3/Q3P1q1/3r4/1P5P/5K2 w - - 2 35,a4a7,976
a6qXi,r1b2q1r/ppp1b1kp/2np1np1/8/2B1P3/2P5/P2Q1PPP/RNB2RK1 w - - 0 13,d2h6,655
NLhsa,rnbq3r/ppp1b2p/2k5/7Q/2p2B2/2NP4/PPP2nPP/R3K2R w KQ - 0 14,h5b5,1395
LRNO3,r2qkb1r/pp1bpp1p/2n2np1/4N3/2Qp4/6P1/PP2PPBP/RNB1K2R w KQkq - 1 9,c4f7,829
D7GSU,6k1/1p1r1pp1/2b4p/2Bq4/3P2P1/P6P/6QK/4R3 b - - 0 38,d5g2,399
a8MQJ,1r1b1rk1/p1qn1p1p/2pp4/1p3N1n/8/1P2P3/PBPP2PP/R4RK1 w - - 0 18,f5h6,846
igTbP,3b2rk/8/1p1PQ2p/8/4ppq1/1P4P1/P6K/6R1 w - - 0 39,e6h6,1395
jyx8g,r4rk1/1p2qppp/p1n1b3/3np1N1/4Q3/3B4/PPP2PPP/R1B2RK1 w - - 2 15,e4h7,525
qOoQc,5rk1/p4pp1/1p4qp/4Q3/4b2P/P7/1P4P1/4RRK1 b - - 1 28,g6g2,509
KgxWg,5rk1/5ppp/r3p3/pN1p4/Q5b1/P5Pn/6PP/R1R3NK b - - 0 23,h3f2,785
6tXHh,2r2k2/5p1r/3N1Pp1/4p1P1/8/p2p4/K7/2R5 w - - 0 42,c1c8,863
tQFWN,5r1k/4Np1p/6p1/5Q2/8/3B1PqP/5nP1/6K1 w - - 0 35,f5f6,1118
gSylG,q1r3k1/5ppp/4p3/1N6/PQ6/4P1P1/3P1P1P/6K1 b - - 2 29,c8c1,812
E8ct7,r6k/2R5/6RK/4p1P1/8/8/8/1r6 w - - 1 50,c7h7,1060
PUFLV,r5k1/p2B1pp1/3p3p/2pP3Q/3b1P2/6R1/6PP/r4R1K b - - 0 30,a1f1,441
xqQ64,r7/3k1p1R/p3N3/3pP1Q1/bp3P2/2Pq4/PP6/K4R2 b - - 4 33,d3f1,910
xp2Dq,8/p7/2bQrk1p/5prP/3P4/8/P7/5K2 w - - 4 36,d6f8,1093
cRibH,r4k1r/1pq1p1b1/p1b1P2p/2p2ppQ/4n2B/2P5/PP1N1PPP/RN1R2K1 w - - 2 17,h5f7,748
RZRrq,5r1k/p3b1pp/b3p3/3pPp2/2q2P2/P3B3/3Q2PP/R1RN2K1 b - - 5 24,c4f1,1092
tzsYz,3r4/1pq2kP1/4b1p1/p1p3Q1/2P4R/1P5P/P4PP1/6K1 b - - 0 28,d8d1,815
m9drP,r4rk1/pp2b1n1/2p1P3/3p1bp1/3P1p2/1P3N2/PK2N1PR/4n2R w - - 0 28,h2h8,867
EBVtl,2k5/2r5/2B1R2R/8/1p1P1p2/2r1n2P/5K2/8 w - - 1 53,h6h8 e6e8,491
hd3XB,r3kb1r/1pp2pp1/p1p2Q2/4p3/4Pnp1/3P1N2/PPPN1PP1/R1B2RK1 b kq - 0 13,f4e2,1098
T4yob,2kB3Q/pp6/4p1p1/3p4/3PnK2/2q4P/P1P5/R7 b - - 1 25,c3g3,1175
dRFx2,4r1k1/5p2/6pK/p3P3/R2Q1PP1/7P/8/4q3 b - - 0 40,e1h4,795
vf8s2,rn2kbnr/ppp2pp1/7p/3p4/3Pp3/5P1P/PPPKPq1P/RNB1QB1R b kq - 4 8,f2d4,1756
1TLDV,r4r1k/p1p1qpp1/1pb1p3/4n1N1/2P5/P1P5/2Q2PPP/R1B1K2R w KQ - 0 16,c2h7,656
8Jxfp,5rk1/3Q4/p6b/2p1p1q1/1pP1B3/1P3P2/P7/3K1R2 w - - 5 42,d7h7,937
MLogN,6k1/5pr1/8/p3Q3/4p3/3q4/P5PP/5R1K b - - 2 41,d3f1,630
JibeW,r4b1r/1p4pp/p1np1qk1/3Qpb2/7P/6N1/PPP2PP1/R1B1K2R w KQ - 1 13,h4h5,1377
I139D,5k1r/b1p2p2/p2r3p/8/8/2Q5/PPn5/2K1R3 w - - 0 33,c3h8,947
ohpiM,rnbq1rk1/p4pp1/1p2p3/3p4/2PP4/2P2NP1/P1Q2PP1/R3K2R w KQ - 0 17,c2h7,819
ppj03,r2qkb1r/pp1bp3/2p2p1p/3p4/3P4/2N5/PPP2PPP/R2QKB1R w KQkq - 0 10,d1h5,586
cJ7Ej,R4r2/1pr2k1p/4pp2/3bq3/8/3Q4/3NNPPP/6K1 w - - 0 29,d3h7,944
JRAyZ,r2qkb1r/pb1pnppp/6n1/2p2N2/1p2PP2/1B4N1/PPP3PP/R1BQK2R w KQkq - 4 12,f5d6,1395
lknc7,r1b1k2r/3p1pp1/p2qp3/1pp3Qp/3NP1n1/2NP3P/PPP1BPP1/R4RK1 b kq - 0 13,d6h2,659
z8sih,r3r1k1/pp2bppp/8/4Qb2/3B4/2N5/PPq1NPPP/4K2R w K - 6 19,e5g7,485
FIPJA,r2k1r2/1b1p3p/p1qPp1p1/1p2P1b1/8/P1NB2P1/1P4PP/2R2R1K w - - 0 23,f1f8,504
4hprd,4r3/8/1p3R1B/6PP/2P3k1/8/P4K2/4r3 b - - 4 38,e8e2,1014
sLJ8Z,r2qr2Q/3nk1p1/p3p3/1pbbP1N1/8/8/PP3PPP/R1B2RK1 w - - 7 22,h8g7,773
n18dL,8/1p2Q1bk/7p/4p3/8/1P3q1P/P1r3R1/7K w - - 2 50,e7g7,526
ZZe07,r4rk1/p1pqb1pp/1p1pp3/6N1/6n1/3Q4/PB3PPP/1R1R2K1 w - - 5 18,d3h7,538
vwzbJ,r1b1q2Q/pp1pk2p/2pR2p1/5n2/4N3/5B2/P4PPP/6K1 w - - 3 23,h8f6,1082
x1oyW,r1b2r2/ppp1k1pp/2n5/1B1pp3/4P3/2NP4/PPP3PP/R1B2R1K b - - 0 17,f8f1,780
yc3GN,rr4k1/p4pn1/b3p1p1/3pP3/2pb1BP1/2q1PP2/P1B1K2Q/R6R w - - 0 25,h2h8,913
wiMyg,r2q1rk1/pp3pp1/5b1p/3p1Q2/8/2P2N2/PPB2PPP/R5K1 w - - 0 25,f5h7,703
U6feb,8/p1N2k2/3R4/5r2/3P1P2/4P2P/KPb5/8 b - - 0 41,f5a5,656
F3rhM,r2q1rk1/p4ppp/2b2b2/2p2QN1/7P/2n5/PPPP1PP1/R1B1K2R w KQ - 0 17,f5h7,551
nOxKc,7k/8/3b3p/3q4/4Q3/4PK1P/5PP1/8 b - - 4 43,d5d1,1726
8iM5B,7k/4q2p/3p2p1/3Q4/1p2P3/1Bb4P/2P3P1/7K w - - 3 39,d5g8,943
ACTt3,3k4/pPb3p1/3q3p/3n4/P1QPp3/2P1B2P/5PP1/R4RK1 b - - 0 27,d6h2,846
nQspL,6k1/p1R2p1p/3p4/2pP4/3r4/8/PPP2PPP/6K1 b - - 0 24,d4d1,456
zIAOz,r2qrbk1/2pb1p2/p1n4Q/1p1nP3/1P6/3B1N1P/P4PP1/RN2R1K1 w - - 1 19,h6h7,1450
ioQgQ,r2q1rk1/pp1b1pp1/2n1p2p/2p5/3PQ2b/2PB1N2/PP3PPP/R3R1K1 w - - 0 15,e4h7,793
mh5iO,2R3B1/6p1/1p4kp/8/5BP1/P3b2P/1r2r3/7K w - - 5 40,c8c6,914
smxl9,4Qr2/2k4p/p2pQ1p1/4n1b1/8/8/PPP4P/1K3RNR b - - 0 30,f8f1,786
pHZ3d,r3n3/1b1qbr1k/5pR1/pppPpP1P/2p5/P1N5/1PPQBP2/R3K3 w Q - 0 23,d2h6,1095
aFwJw,rn2kbr1/pp1q1p1p/7p/2p1N3/3P4/2N4P/PPP1BP2/R2Q1R1K b q - 2 14,d7h3,662
U60s7,2r3k1/1b2qpp1/p3p2p/1pn5/3QP3/PBB2P2/1P4PP/3R2K1 w - - 4 32,d4g7,1109
KFnsF,r3kb1r/ppq1p2p/2n1Pp2/3p1Bp1/PP1B2n1/2P5/4N1PP/RN1Q1RK1 b kq - 2 16,c7h2,700
MDVfT,8/4nk2/3Q2p1/3Pp1P1/4q3/P4p2/3R4/3K4 b - - 0 45,e4b1,1329
5JkyQ,rn1qkbnr/pp3ppp/8/4p3/3pb3/1B3Q2/PPPP1PPP/R1B1K1NR w KQkq - 0 8,f3f7,1091
hIWVV,8/5rk1/p2p3p/6n1/Pb1PP1Q1/8/6PP/5R1K b - - 0 35,f7f1,743
3OPUm,5r1k/8/p4p1p/5b2/3N1P2/PrP5/3R2PP/2K4R b - - 1 28,b3b1,920
3SC5L,5rk1/2p4p/3p2p1/2PP1q2/4r3/1Q2P1P1/2R3KP/5R2 b - - 0 34,f5f1,808
qeJLj,3q1r1k/1p4pp/8/2P1Q3/1P6/p5R1/P4rBK/8 w - - 3 48,e5g7,766
hWpMj,r1bqkn1r/ppp2ppp/3p1n2/2bQ1P2/2B1P3/2P5/PP4PP/RNB1K2R w KQkq - 3 10,d5f7,552
N5W8F,1R6/p4p2/8/2Np1knp/8/1P2Pbp1/PB3P2/5RK1 b - - 0 28,g5h3,703
pEkdq,5rk1/3n2Pp/2pb1n2/3p2B1/3P4/1pP2P2/qP1QN3/2KR3R b - - 2 24,a2a1,624
wIzD2,3r2k1/5p1p/4r1p1/8/2N1p3/PnR3P1/1P2PPBP/5K2 b - - 6 30,d8d1,864
ZHfP1,r5k1/pbB2pbp/1pq2np1/1N6/2Q5/PP5P/5PP1/3R1RK1 b - - 0 22,c6g2,922
wPZ72,5r2/5pk1/4p1p1/p5Qp/P3N1PK/1p3P2/1q5P/2R5 b - - 0 45,b2h2,865
BElCd,2kr1bnr/B1pb1ppp/1p6/2q1p3/8/1QN2P2/PP2BP1P/R3K2R w KQ - 0 14,e2a6,892
uTsh3,8/p2r1p2/P4p1p/2k1p3/1Rp1P1P1/2P1KP1P/3r4/1R1B4 b - - 0 36,d7d3,1350
dFyqp,r1b1r1k1/p2p1ppp/1Nnq4/8/5P2/6PP/PPP2Q2/1K1R1B1R b - - 0 18,d6d1,629
QatrR,rn2kbnr/p2N1ppp/8/1Qp5/1P6/Pq2P3/1B1PpPPP/RN2K2R b KQkq - 0 13,b3d1,1145
KlBEb,5rk1/p2R4/2pP4/4r3/7K/6P1/P1P1b1BP/4R3 b - - 2 36,e5h5,1256
oPIXZ,rn1qkb1r/pp2np1p/2p1p1p1/3N1b2/2BP4/5N2/PPPB1PPP/R2Q1RK1 w kq - 2 10,d5f6,892
U3Tvi,r2q1k2/5rpQ/2pb1p2/p2p4/3P4/2p5/PPPB1PP1/2K1R3 w - - 0 26,h7h8,771
WV3O8,r2qkbnr/pb3ppp/1pnp4/2pQ4/2B1P3/2P2N2/PP3PPP/RNB1K2R w KQkq - 1 8,d5f7,1056
AePUe,8/6p1/1Q3pk1/4p2r/1P1pP3/3PRbP1/P4P2/2R3K1 b - - 2 32,h5h1,500
c9AyB,rn1qkb1r/pp3ppp/2p5/2n1p2Q/8/1BP4P/PP1P1P2/RNB1K2R w KQkq - 2 10,h5f7,774
evU5x,r1b3k1/1p3ppp/p3pq2/8/QP1r4/P5P1/5PBP/R4RK1 w - - 0 18,a4e8,424
SfaIb,r3r1k1/1b1p1pp1/pbnBp2p/1p2P1q1/8/P1NQ4/1P3PPP/1BRR2K1 w - - 0 19,d3h7,608
wRT9L,r2q3k/p2b1Q1p/3p2pB/np2r1b1/2p1P3/2P4P/PPB3P1/RN3RK1 w - - 1 21,f7g7 h6g7,833
FwS9s,r1b4k/pp4p1/2p4p/8/4B3/1PPq4/PB4Pb/5R1K w - - 0 24,f1f8,828
ZiUFC,r1b4k/ppp3pp/3p2q1/4p3/7r/1B1Pn2Q/PPP2RPP/R6K w - - 0 22,f2f8,1023
dcYLQ,1r5k/5p1p/p2pbpr1/8/3BP2Q/P2BNP1P/2P2R1K/4q3 b - - 0 38,e1g1,1096
pZYDg,8/8/8/p3Kp2/2B2Bk1/6Pr/8/8 w - - 4 49,c4e2,910
B9vos,6k1/5p2/5p1p/1R6/R1r1P3/8/5PPP/6K1 b - - 0 29,c4c1,634
lxYWo,r3r3/ppp3kp/6p1/8/4qB2/1Q1P1nP1/PP3K1P/R4R2 b - - 2 22,e4e2,1024
OQO2w,3r2k1/1br3pp/p3pb2/3qNp2/3P1P2/PR2Q2P/1B2B1P1/3R2K1 b - - 2 26,d5g2,1048
kmn2O,1k1rr3/pp4pp/2pp1n2/8/4PBq1/3P2P1/PPP2PQP/RN3K2 b - - 9 18,g4d1,631
Zocye,6k1/p4ppp/8/5P2/8/P7/3r2PP/4R1K1 w - - 0 30,e1e8,613
dBZ1d,2r5/p7/3P2pk/8/2q1Q1p1/5pP1/P1B2P2/3K4 w - - 5 38,e4g6,1034
SHH0b,r4rk1/bp3pp1/p1pp3p/4P3/4P1n1/P1PP1Q1q/BP5N/R1B2R1K b - - 2 18,h3h2,1259
bQu15,r5k1/pp2pp2/3pbnp1/7p/4P2P/q1PB1P2/2P3P1/1KQR3R b - - 1 18,a3a2,947
PUolE,5rk1/5pp1/7p/QPp5/2BbnP2/3P3P/1PP1r3/1R3R1K b - - 2 28,e4g3,913
md8zb,4rk1r/ppQ4p/8/2p4N/8/KP6/P6P/7q w - - 0 32,c7g7,954
BwZr7,r3r1k1/p4p1p/1p3QpB/8/3p2n1/2P5/P1P3PP/5K2 w - - 1 24,f6g7,832
LTDZi,6k1/1p4p1/p2r1pPP/1p3P2/8/1P2n3/PBP4R/2K5 b - - 0 49,d6d1,597
70eyy,r2qkb1r/1p1nn3/p2p1pbp/1NpPp1p1/Q1P1P3/3B1NB1/PP3PPP/R3K2R w KQkq - 2 13,b5d6,1064
Mdi78,1r2k2r/Q4ppp/1npb4/2P2b2/8/1P1p1PP1/P2BP3/3RKBNR b Kk - 0 17,d6g3,868
cBWUI,2r5/1p3k2/1p1bp1p1/3p2Pp/3PpP1P/4B3/PP1R4/K1R5 b - - 0 30,c8c1,413
11OA8,rn1qk2r/3pppbp/5np1/p1p1N3/Pp6/1QPP2P1/1P2PPbP/RNB2RK1 w kq - 0 10,b3f7,647
YW71a,r2q1rk1/p4ppp/2p1b3/6b1/3pQ3/P2B4/1PP2PPP/R4RK1 w - - 0 16,e4h7,454
7XIGO,r2qkbnr/pp1npppp/2p5/5b2/4N3/7P/PPPPQPP1/R1B1KBNR w KQkq - 3 6,e4d6,1132
jhUvY,rnb1k2r/pp2Bppp/8/2qpp3/4n3/2P2N2/PP2PPPP/RN1QKB1R b KQkq - 0 9,c5f2,1283
6ii5I,r1bqk1r1/ppp2p2/1bnp3p/4p1pn/1PB1P3/P2P1Q1P/2P2PP1/RNB1K2R w KQq - 0 11,f3f7,1096
s9f8p,r6k/ppp3b1/4BrQ1/1R3p2/5q2/P2P4/6R1/6K1 w - - 2 29,g6g7,1690
xL6t2,r4rk1/pp2bp2/2n1ppp1/1q1p2N1/3P1PPQ/2P5/PP1B2KP/1R3R2 w - - 0 23,h4h7,828
NWp3T,r1bq1r1k/pp3ppp/3bpNn1/2p5/7R/3B2Q1/PPPP2PP/R1B2K2 w - - 8 18,h4h7,841
8B2ne,r3kb2/pp1n2p1/1qp1p3/4P1B1/3P4/2PB4/PP4P1/R4K2 w q - 0 24,d3g6,592
B7InR,2r2rk1/3nqppp/bp2p3/p2n4/2PP4/3Q1PN1/P1BN2PP/R4RK1 w - - 3 19,d3h7,483
Jwla9,1k1q4/ppp3p1/4r2p/5p2/8/2P1n1P1/PPB3P1/2KR4 w - - 0 26,d1d8,935
hyBoB,r2k4/ppp2Rpp/1b6/8/6r1/1P1P4/1PP3P1/R1B4K b - - 0 20,g4h4,750
GhCH5,8/pp1Q1pk1/2p3p1/2P1q3/7K/6R1/P5P1/8 b - - 0 48,e5h5,931
Of8Eg,rn1q1rk1/1pp2pp1/p2p1b1p/3P4/6b1/3Q1N2/PPB2PPP/RN2R1K1 w - - 0 15,d3h7,474
8cxcI,5rk1/p1pr3p/6bB/2p1p3/2P1P1PK/1P5P/P7/5R2 w - - 0 38,f1f8,467
6PJnr,8/8/7p/p1N4P/PpB5/1P2k3/2r5/4K3 b - - 0 55,c2c1,955
