puzzle_id,fen,mating_moves,rating
kk6P6,6k1/p4p2/4p2K/5r2/3B2pp/P5P1/7r/2R5 w - - 0 39,c1c8,882
DyPGz,1r1qr3/2pnbk1p/p2p2pB/1p2P3/3PB3/2N4P/Pn3PP1/R3R1K1 w - - 0 22,e4d5,1760
y8vtu,6k1/R5pp/6p1/1p2N3/8/2P1P2P/Pr6/1b3K2 w - - 1 28,a7a8,651
TeJSS,2rq1rk1/p3bppp/1pb1p3/3p4/2PQn3/1P4P1/PB2PPBP/R2R2K1 w - - 0 17,d4g7,664
dJWHz,8/R5p1/p3pkp1/8/5KP1/1P6/r7/8 w - - 0 42,g4g5,941
fS1n3,8/3k4/7R/1P1Pp3/4P3/3q4/6PP/5R1K b - - 0 39,d3f1,546
XmXea,r5r1/2p2p1k/p2qp1pp/2p5/3p4/1P1P2nQ/P1P3PP/RNB3K1 w - - 0 22,h3h6,985
zp1ig,5k1r/1p2bp2/4pQ1p/1B1pP3/P6P/6P1/1q3P2/5RK1 w - - 2 32,f6h8,834
2xSJW,2rq1k1b/1p2p3/p1bp2R1/5P2/4P3/1B6/PPP5/1K6 w - - 0 28,g6g8,701
LRdbQ,4N3/5N2/1p2p1p1/p1npP2k/3n4/P5P1/1P3P2/1K6 w - - 7 37,e8f6,1240
pbNxh,6k1/2p2r1p/2p3pP/6P1/2B1p3/1Pq5/8/1K1R4 w - - 0 29,d1d8,856
iI21P,r1b1r1k1/ppq3pp/4pp2/8/QP1R3B/n6P/4NPP1/5RK1 w - - 2 21,a4e8,752
dlE6S,7k/1p3p1p/4p3/1pQpq3/5p1r/P1P2R1P/1P5K/8 w - - 0 37,c5f8,986
A3PHI,5r1k/7p/8/1pn5/5RQ1/P2qp1P1/7P/6K1 w - - 0 34,f4f8,579
Y5mzP,4r1k1/5ppp/p2Q4/1p6/2p2N2/8/PPP2PPP/6K1 b - - 0 23,e8e1,517
OEIu3,2kr2nr/ppp2ppp/8/2NbP3/5PP1/3B3q/PPP4P/R1B1Q1KR b - - 0 16,h3g2,941
YnSEn,2kr3r/ppp1Q1p1/5pp1/3p1qP1/1n1P3P/2N2N2/PPP2P2/2K3RR b - - 0 19,f5c2,764
1bHrR,r6k/1p3Rb1/2p3Qp/p2q4/2pP2P1/2P4P/PP6/2K5 w - - 0 29,g6g7,848
czuct,rn1Q1b1k/p1p3pn/bp2B2p/1q3N2/4p3/2B1P3/PPP2PPP/R3K2R b KQ - 7 19,b5e2,871
MPvPS,r1b2rk1/1p3ppp/p2q1B2/3p4/1P2p1n1/P3P3/2PNBPPP/R2Q1RK1 b - - 0 14,d6h2,792
bM4V8,1r3r2/2q1b2k/p2pP1pP/n2B1p2/2p1pP2/2Q3P1/PP6/2KR3R w - - 0 29,c3g7,690
19QnI,rnb1r1nk/2q1b1pp/2P4N/p7/1p3P2/4B1P1/PP1NP1BP/1K1R3R w - - 0 23,h6f7,715
8O4Ss,b2r2k1/p1Q2ppp/1p2p3/2p1P1q1/5P2/2P5/P5PP/R3R1K1 b - - 0 23,g5g2,972
lkfzy,2rq1rk1/1b3ppp/p3p3/2nn4/2N5/5P2/PPQ1NBPP/1Bb2RK1 w - - 0 19,c2h7,1129
iZR6F,rnbk3r/pp3ppp/4p3/1B2P3/3N4/B1n5/P4PPP/2KR3R w - - 0 14,d4e6,1527
VC0gN,4Qr1k/2p3pp/p7/2NBP3/7q/4Bb2/PP3P1P/R4RK1 b - - 0 19,h4g4,1232
OLZBI,8/5pb1/4p1k1/8/2R2PKP/5RP1/7r/8 b - - 2 55,f7f5,1079
BPLpO,r1b2r2/1pq3pk/p2b4/4np2/2B5/1P6/PBP2PPP/R2Q2K1 w - - 0 18,d1h5,534
DxNV9,5rk1/p5pp/b7/6B1/3p4/6P1/P4p1P/R4R1K b - - 0 28,a6b7,1478
K6EMd,1k1r4/ppp4p/5R2/6p1/2q5/8/PPP3PP/3R3K w - - 0 26,d1d8,678
hE5DQ,r1bqkbnr/ppp2p1p/2n3p1/P2pp3/6P1/5P2/1PPPP2P/RNBQKBNR b KQkq - 0 5,d8h4,716
PQIhN,rn3rk1/pp3ppp/3qp3/8/2pB1PQ1/4P2P/PPP3P1/2KR3n w - - 0 17,g4g7,558
Y2XAt,2kr1b1r/B1pq2pp/1pnppn2/1B6/8/2N5/PPPQ2PP/R4RK1 w - - 0 19,b5a6,720
e21Hk,r1b1nrk1/ppq1bppp/2pp4/8/4Q3/1P1BP3/PBPN1PPP/R4RK1 w - - 6 13,e4h7,593
r1Ro6,2kr3r/ppp2pp1/4pq1p/3pN3/3P2PP/P1Q1P3/1PR2P2/2K4b w - - 0 19,c3c7,690
ftTRs,rn1qk2r/5ppp/p3p3/1p1p3P/2pPb1P1/2P5/PP1bBQ2/R1B2RK1 w kq - 0 19,f2f7,1055
KSw00,b7/P6k/8/7r/8/8/5B2/2R3K1 b - - 1 59,h5h1,871
ECy26,r1bq1rk1/pp6/2n1p1p1/b2pPnN1/3P4/2N4Q/PP3PPP/R1B2RK1 w - - 0 15,h3h7,931
yEsy4,8/1R5p/pp3kp1/2p5/8/P5R1/BP1r1rPP/7K b - - 0 27,f2f1 d2d1,586
FVmrP,1r3r1k/7n/p2b2RQ/1pp5/4P3/P6P/1PP3P1/5R1K b - - 0 25,f8f1,529
zL2LN,rn1qr1k1/1p3ppp/p7/8/1P1QP3/P5N1/1B3PPP/R4bK1 w - - 0 19,d4g7,1194
EqvKw,r2qkb1r/pb3p1p/3p1np1/2pPn3/1pP1P3/1P4P1/PB1NN2P/R2QKB1R b KQkq - 0 11,e5d3,948
hr7NJ,N4rk1/1b3ppp/p2p1n2/8/4q3/1P5P/1PP2PP1/R1BQ1RK1 b - - 0 16,e4g2,633
HdXMS,4Q3/5Kpk/3q3p/5P1P/6P1/8/8/8 b - - 25 65,d6f6,1081
