puzzle_id,fen,key_moves,mate_in,rating
X4NHD,r6r/p1q2pkN/2pb4/1p4P1/3P3Q/4P3/PP3PP1/1K1b4 w - - 6 27,h4h6,2,1083
E21t8,r7/p4kp1/2p1p1r1/2Ppp3/5P2/1P2B3/P4P1K/R2Q2R1 b - - 0 29,a8h8,2,1147
ZO7w9,1r1q3k/1p2npb1/3p1n1P/p3p3/8/2NB1P2/PPP5/1K4RR w - - 0 26,h6g7,2,1164
Ohiou,5rk1/p4rpp/8/1p3q2/2p4Q/2P1P3/PP2R1PP/R5K1 b - - 0 24,f5f1,2,733
lEeVq,1k6/pb2q3/1p1Np3/8/QP6/2N5/P5r1/3RKR2 b - - 3 29,e7h4,2,1276
X6Hep,2kb2Q1/1b6/1pnB1q2/p2p4/P2P3p/4P2P/1P1r4/R5RK w - - 0 29,g8g4,2,1685
RjWCF,r1b1rbk1/1pp1qpp1/p2P3p/3B4/3Q4/6B1/PPP2PPP/3RR1K1 b - - 0 16,e7e1,2,521
D8qXB,r5r1/pp2k2p/1q2pp2/3pNp2/Q2Pn3/2P5/PP3PPP/R4RK1 w - - 2 18,a4d7,2,973
2RxRx,5rk1/p2b1p2/p4p1p/q4N2/4Q3/bP2PN2/P1r2PPP/1K5R w - - 0 22,e4g4,2,1578
9lTYR,4Rnk1/6p1/4P1Qp/3p1p2/p4P1K/P3r3/4q1PP/8 w - - 1 40,e8f8,2,1713
xUEwn,6k1/pp4pp/2p2p2/6q1/2PQ4/P3Pb2/5K1P/5R2 b - - 3 29,g5g2,2,962
361Ud,r3kb2/pp1b3p/2p1p1p1/4P3/6nq/3B1N2/PPPQ2P1/2KR4 w q - 0 20,d3g6,2,1821
X6e0f,6k1/5ppp/p7/8/8/1q6/1P1Q1KPP/4r3 w - - 0 31,d2d8,2,705
YVc7j,1k2r2r/pp5p/2p4p/7Q/1b1N4/7P/PPq1BPP1/3R1K1R b - - 5 21,c2d1,2,1391
rLi5t,r7/bpp1q1k1/p4pP1/7Q/8/1Bp4P/PP3PP1/6K1 w - - 2 27,h5h7,2,1249
rzjwr,r4rk1/pb1q1p2/1p2pP1p/2b4Q/8/PB5P/1PP3P1/4R2K w - - 0 25,h5g4,2,1556
3AjqB,r5k1/1R1R2pr/q7/4Pp1p/5P1P/bP4Q1/P3p1P1/1K6 w - - 4 35,d7g7,2,1191
zvFWM,2r3k1/p4pp1/bp2p3/8/2r1B3/2q2P2/3Q2PP/3R2K1 w - - 1 31,d2d8,2,1234
kjBHv,3r4/7p/k3ppp1/8/2P1PK1P/r7/1R4P1/1R6 b - - 1 36,e6e5,2,1366
jYkyS,r4r1k/5p2/1R2p1p1/4P3/1p1PN3/5N2/5PPP/6K1 b - - 1 30,a8a1,2,904
rA5ST,1Q6/5p1k/p3p1pb/4Pq2/P4P2/7R/6PK/3r4 w - - 3 37,h3h6,2,877
J2F3g,1k6/2p4r/p1R1BP2/1p2N3/1P6/P2Pb1Pb/7p/7K b - - 0 40,h3g2,2,922
bfdON,rn3rk1/pp2bppp/8/8/3pNBb1/3Q2P1/PPP3q1/2K4R w - - 0 17,e4f6,2,1098
RYX6r,1r4k1/pp4pp/4p2q/4p3/4P1n1/1P5P/P1P1QP2/R4R1K b - - 0 19,h6h3,2,994
GsZ6O,5rk1/p1q2p2/1p1p1bpQ/3Pr3/1P1p2R1/P2P4/3B1PPP/2R3K1 b - - 1 22,c7c1,2,1676
omXEq,1kr1n2r/2qb1p2/p2pp2p/1p2b1pP/4P1P1/PN1RQP2/NPP2B2/1K2R3 b - - 4 25,c7c2,2,1552
wZKTJ,r3k3/ppp5/1P1qp3/P2p1nP1/3P4/1QP2N2/3NPK2/R7 b q - 0 25,d6g3,2,1069
m2kBC,r2qkb1r/5pp1/n4n2/pp2N2p/3pP2P/1B4N1/1PPP1PP1/R1BbK2R w KQkq - 0 13,b3f7,2,1320
soCgZ,8/1b5k/p2pr1pp/1pq2N2/5Q2/1P5P/5PPK/8 w - - 1 34,f4h6,2,977
