puzzle_id,fen,key_moves,mate_in,rating
sp000674,8/6p1/4P3/4k1p1/1p4P1/1npRK1P1/4p3/7q b - - 3 45,e2e1q,1,0
sp002848,R7/7K/8/8/5k2/5pq1/8/b7 b - - 3 60,g3g7,1,0
sp003240,QR2B3/2k5/2P1K3/3P4/4p3/5p2/5P2/b5b1 w - - 1 45,b8b7 a8b7 a8a7 d5d6,1,0
sp001372,8/8/2p4p/7P/5k1K/r1n5/p7/q2r4 b - - 7 47,d1h1,1,0
sp001031,r7/6Qr/p1P4p/3P3k/P3pp2/8/6K1/5R2 w - - 2 37,f1h1,1,0
sp002793,2k5/8/n1p4p/P7/1pK3p1/5b2/2P2P2/3r4 b - - 1 32,f3d5,1,0
sp002076,6k1/4b1p1/6Pp/1P2p3/2PpP3/2p4P/6rR/rB2K3 b - - 1 38,a1b1,1,0
sp001250,8/6Q1/1np3p1/5kP1/8/2qpKBp1/8/8 b - - 3 55,b6c4,1,0
sp003281,5B2/8/2p1P1k1/2P2p1p/1p1p3P/r3n1p1/6P1/6K1 b - - 1 36,a3a1,1,0
sp001530,6Q1/3K4/8/5B2/7k/3n4/5b2/r7 w - - 1 66,g8g4,1,0
sp000793,2K1R2Q/8/8/8/1q6/2p5/5p2/3b1k2 w - - 6 72,h8h1,1,0
sp003180,8/2b5/8/7B/2k2q2/2p2p2/p1K5/8 b - - 1 52,f4d2,1,0
sp000523,1Q6/8/2NPK3/5Q2/3Q4/8/8/7k w - - 31 79,f5h3,1,0
sp001875,7R/5p2/5P2/4p3/4P3/1N3K2/5P2/5k2 w - - 5 52,h8h1,1,0
sp002253,1R2Q3/8/5K1k/7p/2p4P/2P5/5b2/4r3 w - - 8 80,e8h8 e8g6,1,0
sp000415,2r2q2/8/p1P3kp/P7/K3p2P/2p5/8/1r6 b - - 0 41,f8b4,1,0
sp002810,4R3/8/1n6/1P3k2/5b2/2P2K2/B7/q7 b - - 2 42,a1f1,1,0
sp002425,8/4Q1p1/1p6/p2k1P2/P2P1Pp1/1PK2nP1/3N4/8 w - - 1 36,e7d7 e7e6,1,0
sp001519,R6B/8/1k1K4/2p2p2/8/2Q4P/8/6r1 w - - 1 38,c3b3 c3b2,1,0
sp001955,4R3/1Q6/5rk1/5p1p/5PpK/2q5/3rb3/8 b - - 6 48,c3h3,1,0
sp001493,1Q6/3k4/2p2P2/5K2/2B2P2/8/3q4/6rr w - - 5 46,c4e6,1,0
sp000611,8/5Q1K/8/8/8/8/6Q1/3k4 w - - 29 88,f7f1,1,0
sp000073,8/8/6K1/5p2/4p1k1/2n2p2/r4P1Q/1r6 w - - 3 43,h2g3,1,0
sp003003,8/P7/3p3p/1P3p2/4kP1P/5q2/7K/4r3 b - - 1 47,e1h1,1,0
sp000877,R7/3RK3/2Q3Q1/5B2/8/4b3/1k6/8 w - - 5 82,c6c2,1,0
sp000924,8/2N2k2/5n1p/3P1K2/1p3P1P/2R5/8/7q b - - 2 44,h1e4,1,0
sp002795,3r3r/5B1k/1npb1K1p/4p1P1/4P3/P1P2N2/8/n4R2 w - - 0 30,g5g6,1,0
sp002675,5r2/2bn1p2/5n2/8/1KP1Pp2/6k1/8/q6q b - - 7 33,f8b8 h1b1,1,0
sp002715,2Q5/8/6p1/5rPk/2K2b2/2P1p3/3p4/6R1 w - - 5 44,c8h8,1,0
sp002235,7Q/8/4kbp1/4p1p1/4K1P1/n1p5/5q2/8 b - - 5 45,f2e2,1,0
sp002806,7Q/2k3P1/2p2N2/2K2B2/8/5p2/4n3/7r w - - 1 48,h8c8,1,0
sp002707,4kbR1/3n1N2/1p6/2p3p1/4ppB1/r1Pq4/1P4P1/2K5 b - - 1 28,a3a1,1,0
sp002552,B3r3/5Qp1/k3P1P1/p2K4/P4P2/8/8/6r1 w - - 11 49,f7b7,1,0
sp001793,7R/3n4/4kp2/2p2p2/2P2P1P/2K5/4b3/1r5q b - - 21 44,h1c1,1,0
sp000109,3N3R/8/K4P2/2P1Np2/5b2/4k3/4r3/1q6 b - - 7 46,e2a2,1,0
sp000956,7R/1p6/pnp2p2/4k3/8/1P2K2P/6r1/5q2 b - - 0 36,b6d5 f1e2,1,0
sp000623,1Q6/2pkr2r/1P6/1p2PpP1/8/RN4PP/6BK/4r3 w - - 0 32,b3c5,1,0
sp002700,3BQ3/2K5/2P2P1k/7p/p4p1P/P1n5/2B5/r7 w - - 1 46,e8h8 e8f8 e8g6,1,0
sp000589,1Q5K/3P1Q2/2PP4/8/8/8/R7/7k w - - 31 98,b8b1 f7f1,1,0
